SampleID;x1;x2;y;RandomEffect
9;0.125;45.75;9;5
12;0.039;0;9;5
13;0.717;6.5;8;6
14;0.696;1.25;8;6
19;0.12;6.5;9;5
20;0.363;10.75;8;3
21;0.25;19;5;3
22;0.795;2.75;7;5
24;1.157;1.5;3;6
25;1.391;28.75;6;3
28;0.041;1.5;7;4
29;3.04;4.25;8;6
30;1.817;2;5;5
31;1.599;0.75;3;4
32;0.776;4;7;6
35;0.25;0.25;3;5
36;0.234;2.75;4;5
37;0.436;30.75;8;2
38;0.085;0.75;14;4
39;1.202;44.5;5;4
41;2.131;3.25;0;5
51;0.94;38.5;5;6
52;0.018;19;8;5
53;0.978;7.75;5;6
54;1.017;17.25;9;5
56;0.968;6.5;7;5
58;0.604;3;7;5
59;4.009;20;6;5
63;1.671;27.75;2;4
67;4.091;8.75;5;5
70;3.125;45;2;4
72;0.447;1;6;4
75;0.245;35.25;7;3
78;0.093;4;10;3
79;0.142;16;8;5
83;0.551;2.5;4;6
84;1.242;1.75;4;4
86;0.023;29.25;6;4
87;0.056;22.75;6;4
88;0.495;22;6;3
100;0.621;1.5;4;4
142;2.463;62.5;2;3
161;2.421;0.75;7;5
