SampleID;x1;x2;y;RandomEffect
1;0.0678;30.7;7.09;9
2;0.0679;30.7;4.82;9
3;0.071;30.7;4.43;9
4;0.0793;28.6;0.42;10
5;0.0801;28.6;0.4;10
6;0.0795;28.6;0.36;10
7;0.1284;30.3;0.64;11
8;0.1286;30.3;0.72;11
9;0.1277;30.3;0.8;11
10;0.1617;31;0.17;12
11;0.1622;31;0.14;12
12;0.1619;31;0.16;12
13;0.1887;31.2;0.17;2
14;0.1885;31.2;0.18;2
15;0.1934;31.2;0.18;2
16;0.1887;31.2;0.17;2
17;0.1885;31.2;0.18;2
18;0.1934;31.2;0.18;2
19;0.1887;31.2;0.17;2
20;0.1885;31.2;0.18;2
21;0.1934;31.2;0.18;2
22;0.186;31.1;0.69;3
23;0.1861;31.1;0.59;3
24;0.1861;31.1;0.59;3
25;0.1998;31.1;0.31;4
26;0.1998;31.1;0.32;4
27;0.1994;31.1;0.31;4
28;0.1998;31.1;0.31;4
29;0.1998;31.1;0.32;4
30;0.1994;31.1;0.31;4
31;0.1998;31.1;0.31;4
32;0.1998;31.1;0.32;4
33;0.1994;31.1;0.31;4
34;0.0218;31;2.06;6
35;0.0228;31;1.74;6
36;0.0228;31;1.9;6
37;0.0218;31;2.06;6
38;0.0228;31;1.74;6
39;0.0228;31;1.9;6
40;0.0218;31;2.06;6
41;0.0228;31;1.74;6
42;0.0228;31;1.9;6
43;0.0808;31.2;0.26;7
44;0.0756;31.2;0.23;7
45;0.0736;31.2;0.21;7
46;0.0808;31.2;0.26;7
47;0.0756;31.2;0.23;7
48;0.0736;31.2;0.21;7
49;0.0808;31.2;0.26;7
50;0.0756;31.2;0.23;7
51;0.0736;31.2;0.21;7
52;0.0355;28;1.73;8
53;0.0345;28;1.94;8
54;0.0359;28;2.01;8
55;0.0355;28;1.73;8
56;0.0345;28;1.94;8
57;0.0359;28;2.01;8
58;0.0355;28;1.73;8
59;0.0345;28;1.94;8
60;0.0359;28;2.01;8
61;0.1144;28.2;0.32;10
62;0.1535;28.2;0.34;10
63;0.1216;28.2;0.56;10
64;0.143;30.4;0.19;11
65;0.1463;30.4;0.29;11
66;0.1466;30.4;0.28;11
67;0.3007;31.5;0.22;12
68;0.3098;31.5;0.23;12
69;0.3053;31.5;0.2;12
70;0.283;31.1;0.18;1
71;0.297;31.1;0.17;1
72;0.293;31.1;0.28;1
73;0.221;31.9;0.18;2
74;0.248;31.9;0.17;2
75;0.236;31.9;0.17;2
76;0.423;31.4;0.25;3
77;0.403;31.4;0.26;3
78;0.4;31.4;0.25;3
79;0.423;31.4;0.25;3
80;0.403;31.4;0.26;3
81;0.4;31.4;0.25;3
82;0.423;31.4;0.25;3
83;0.403;31.4;0.26;3
84;0.4;31.4;0.25;3
85;0.377;32.6;0.27;4
86;0.38;32.6;0.26;4
87;0.555;32.6;0.18;4
88;0.15;31.6;8.98;5
89;0.157;31.6;9.72;5
90;0.147;31.6;11.99;5
91;0.15;31.6;8.98;5
92;0.157;31.6;9.72;5
93;0.147;31.6;11.99;5
94;0.15;31.6;8.98;5
95;0.157;31.6;9.72;5
96;0.147;31.6;11.99;5
97;0.006;28.7;2.51;6
98;0.006;28.7;2.49;6
99;0.006;28.7;2.77;6
100;0.024;29.1;2.44;7
101;0.027;29.1;2.97;7
102;0.027;29.1;2.52;7
103;0.024;29.1;2.44;7
104;0.027;29.1;2.97;7
105;0.027;29.1;2.52;7
106;0.024;29.1;2.44;7
107;0.027;29.1;2.97;7
108;0.027;29.1;2.52;7
109;0.01;31.1;5.23;8
110;0.008;31.1;4.82;8
111;0.012;31.1;5.29;8
112;0.01;31.1;5.23;8
113;0.008;31.1;4.82;8
114;0.012;31.1;5.29;8
115;0.01;31.1;5.23;8
116;0.008;31.1;4.82;8
117;0.012;31.1;5.29;8
118;0.034;30.4;3.98;9
119;0.038;30.4;4.52;9
120;0.035;30.4;3.33;9
121;0.034;30.4;3.98;9
122;0.038;30.4;4.52;9
123;0.035;30.4;3.33;9
124;0.034;30.4;3.98;9
125;0.038;30.4;4.52;9
126;0.035;30.4;3.33;9
127;0.159;30.9;0.57;11
128;0.159;30.9;0.39;11
129;0.161;30.9;0.45;11
130;0.192;31;0.26;1
131;0.196;31;0.27;1
132;0.189;31;0.24;1
133;0.311;30.4;0.96;2
134;0.318;30.4;0.75;2
135;0.238;30.4;1.01;2
136;0.316;30.1;0.56;3
137;0.329;30.1;0.6;3
138;0.313;30.1;0.55;3
139;0.112;31.6;5.24;4
140;0.119;31.6;4.8;4
141;0.106;31.6;5.6;4
142;0.0211;31.2;4;5
143;0.0211;31.2;3.08;5
144;0.0211;31.2;2.86;5
145;0.073;31.2;0.72;6
146;0.1;31.2;0.77;6
147;0.108;31.2;0.82;6
148;0.058;31.1;0.36;7
149;0.052;31.1;2.32;7
150;0.054;31.1;0.54;7
151;0.0211;30.9;0.8;8
152;0.0211;30.9;0.67;8
153;0.0211;30.9;0.68;8
154;0.0211;28.1;2.2;9
155;0.0211;28.1;2.81;9
156;0.0211;28.1;2.84;9
157;0.084;29.2;0.25;10
158;0.075;29.2;0.19;10
159;0.127;29.2;0.2;10
160;0.052;30.1;0.4;11
161;0.053;30.1;0.38;11
162;0.043;30.1;0.36;11
163;0.196;31.3;0.22;12
164;0.182;31.3;0.18;12
165;0.099;31.9;0.18;1
166;0.103;31.9;0.17;1
167;0.103;31.9;0.16;1
168;0.154;30.8;0.29;2
169;0.128;30.8;0.29;2
170;0.18;30.8;0.26;2
171;0.154;30.8;0.29;2
172;0.128;30.8;0.29;2
173;0.18;30.8;0.26;2
174;0.154;30.8;0.29;2
175;0.128;30.8;0.29;2
176;0.18;30.8;0.26;2
177;0.113;31.4;0.4;3
178;0.119;31.4;0.36;3
179;0.118;31.4;0.34;3
180;0.113;31.4;0.4;3
181;0.119;31.4;0.36;3
182;0.118;31.4;0.34;3
183;0.113;31.4;0.4;3
184;0.119;31.4;0.36;3
185;0.118;31.4;0.34;3
186;0.0211;31.3;8.12;5
187;0.0211;31.3;7.26;5
188;0.0211;31.3;7.16;5
189;0.0211;30.8;5.12;6
190;0.0211;30.8;5.2;6
191;0.0211;30.8;4.93;6
192;0.0211;29.7;2.53;7
193;0.0211;29.7;2.71;7
194;0.0211;29.7;2.74;7
195;0.0211;30.6;1;9
196;0.0211;30.6;1.06;9
197;0.0211;30.6;0.96;9
198;0.0211;30.6;1;9
199;0.0211;30.6;1.06;9
200;0.0211;30.6;0.96;9
201;0.0211;30.6;1;9
202;0.0211;30.6;1.06;9
203;0.0211;30.6;0.96;9
204;0.076;29.9;1.38;10
205;0.078;29.9;1.34;10
206;0.075;29.9;1.46;10
207;0.105;30.1;6.28;11
208;0.096;30.1;7.75;11
