SampleID;x1;x2;y
1;7.9749;5.0359;18.5
2;8.7455;5.7021;12.8
3;8.1825;5.6753;17.1
4;7.8927;5.8839;6.6
5;7.9033;5.8891;8.8
6;8.1666;5.799;9.8
7;8.6581;5.7784;15.8
8;8.4398;5.68;14.2
9;8.2876;5.5474;23.4
10;9.1197;5.5317;17
11;7.3779;5.6968;5.5
12;7.6116;5.8706;8.7
13;7.6978;5.7906;7.7
14;7.786;5.6459;15.3
15;7.8435;5.7654;10
16;7.8784;5.4546;32.4
17;7.9176;5.2;10.8
18;8.3135;5.2233;14.6
19;8.1296;5.6454;3.4
20;7.5805;5.5711;2.9
21;7.7356;5.4263;6.4
22;6.9569;5.358;3.9
23;8.141;5.4358;10
24;9.1224;5.4621;13.6
25;9.0523;5.3247;16.3
26;8.5016;5.1639;20.2
27;8.8006;5.2129;14.6
28;7.7047;5.2929;10.7
29;7.9463;5.1448;10.9
30;8.3327;5.3482;16
31;7.7531;5.4441;7.1
32;8.2765;5.6464;22.5
33;7.9985;5.394;18.3403
34;9.005;5.3597;22.8
35;8.9718;5.6886;39.7
36;8.9082;5.6467;24.3
37;8.6783;5.3933;23.5
38;8.0287;5.8538;8.4
39;8.2868;5.393;21.7
40;8.8827;5.5871;15.4
41;9.3776;5.6248;15.9
42;9.3775;5.6425;21.7
43;9.2357;5.6798;17.2
44;8.5924;5.7932;20.9
45;8.3826;5.7331;14.9
46;8.849;5.8024;7.9
47;8.5909;5.6999;6.6
48;8.8775;5.529;18.1
