SampleID;x1;x2;y; 
1;23.596359;12;18.750658;
2;21.169348;25;14.739897;
3;21.929674;16;13.109378;
4;19.813587;42;14.575027;
5;24.623859;34;15.724066;
6;22.758533;12;18.130855;
7;36.445707;0;25.477989;
8;41.3525;11;27.661215;
9;38.268043;12;22.959494;
10;40.850598;10;26.821625;
11;42.919946;18;22.029731;
12;39.885652;0;23.897822;
13;44.70288;11;27.207587;
14;46.11087;4;23.431459;
15;39.855435;15;22.597614;
16;38.46163;21;21.347269;
17;42.305543;38;23.840288;
18;45.372989;14;20.839726;
19;38.905815;6;22.329149;
20;41.133859;10;19.863793;
21;44.620652;9;20.650317;
22;40.32837;6;20.492629;
23;41.987717;32;18.75227;
24;70.859022;13;26.748682;
25;41.083913;10;21.209616;
26;41.004076;16;19.493228;
27;32.629239;20;18.194475;
28;37.377337;31;16.263828;
29;34.698804;29;14.845599;
30;39.946685;23;14.353858;
31;26.495598;43;13.745789;
32;23.704728;65;13.959865;
33;28.540652;36;16.367701;
34;28.178207;30;15.524068;
35;34.877174;17;13.798469;
36;33.137826;35;14.77222;
37;28.897717;36;12.107299;
38;29.926413;59;14.797787;
39;26.754891;14;14.435364;
40;19.939402;36;11.542977;
41;21.826359;65;11.07988;
42;28.64538;29;17.069357;
43;31.350489;15;15.222059;
44;37.354728;18;15.672596;
45;29.433696;32;14.27269;
46;23.114837;50;8.855486;
47;29.730543;42;13.272268;
48;23.405543;13;12.040443;
49;23.939674;72;10.889944;
50;25.6575;58;10.937386;
51;28.207446;49;14.91124;
52;28.636902;31;14.188128;
53;34.362391;10;11.510091;
54;28.47337;35;13.24839;
55;30.365543;28;11.611451;
56;30.943533;43;13.808309;
57;26.160489;9;12.754245;
58;23.72962;57;11.142382;
59;21.499457;62;9.852895;
60;32.546141;13;15.939487;
61;28.358696;35;11.861868;
62;36.545163;7;14.666509;
63;32.969402;16;12.455572;
64;26.478478;10;9.913226;
65;28.997228;73;9.990564;
66;19.611033;23;8.908254;
67;19.480054;52;9.003638;
68;18.947065;66;9.78507;
69;29.525217;42;14.990302;
70;25.675109;43;10.283927;
71;30.106141;5;10.205215;
72;30.415652;25;10.387595;
73;31.862391;9;11.47693;
74;29.826033;37;10.544294;
75;24.810163;7;10.319935;
76;22.525054;47;9.286109;
77;23.262989;51;7.743089;
78;33.781467;0;10.960775;
79;24.970435;87;12.856973;
80;35.574293;4;11.685066;
81;32.583424;42;11.83768;
82;32.413261;27;10.118504;
83;27.708261;32;10.045712;
84;24.636957;12;9.715281;
85;22.574674;59;10.142235;
86;22.692174;51;10.195012;
87;29.217391;15;13.650677;
