SampleID;x1;x2;y
1;691;5.7649;3.945654
2;1044;5.7759;6.303049
3;1059;5.8921;7.649199
4;640;6.0506;6.57793
5;1040;6.1379;7.115708
6;1454;5.8128;5.844023
7;1163;5.9402;7.1
8;1424;5.7562;5.965515
9;1264;5.4862;7.343711
10;1410;5.59;7.8
11;1308;5.6454;5.768478
12;987;5.7832;7.3
13;1837;5.6001;5.433496
14;2098;5.5654;5.261545
15;2172;5.509;6.9
16;1458;5.5785;7.140966
17;1594;5.4814;6.352578
18;2208;5.1569;7.404781
19;1800;5.3282;6.542481
20;1331;5.4702;6.577988
21;1253;5.3577;7.212555
22;2746.422494;5.5327;6.839562
23;2124.066532;5.6005;6.016918
24;1335.577224;5.8649;4.503127
25;1753.567297;5.6861;6.738438
26;3148.018593;5.5115;3.045807
27;2484.972307;5.7258;8.820764
28;2209.277671;5.8411;5.11597
29;2392.25912;5.7552;6.815054
30;1697.09918;5.941;5.955831
31;1750.2122;5.9311;3.278944
32;3138.570291;5.8259;4.478131
33;2715.280855;5.8576;3.429014
34;2663.859495;5.8552;3.523427
35;2971.4754;5.805;4.458527
36;2881.546929;5.9306;4.47869
37;2477.336047;5.8572;4.839833
38;2789.551854;6.0048;3.545369
39;2751.514912;5.9926;5.322257
40;2804.604471;5.7151;6.23138
41;1792.427291;5.7758;7.657766
