SampleID;x1;x2;y;RandomEffect
1;0.042;344;16;US
2;0.003;1178;810.6666667;DS
3;0.022;8061;3242.666667;US
4;0.066;11865;0;DS
5;1.809;2895;5.333333333;US
6;3.146;958.5;0;DS
7;0.021;3062.5;1754.666667;US
8;0.02;3455.5;42.66666667;DS
9;0.009;504;6352;US
10;0.007;4214.5;10192;DS
11;0.027;11266.5;336;US
12;0.032;1105.5;608;DS
13;0.043;63.5;1013.333333;US
14;0.06;659;181.3333333;DS
15;0.02;1629;1610.666667;US
16;0.018;3648.5;544;DS
17;0.044;1860.5;26.66666667;US
18;0.014;1015;53.33333333;DS
19;0.097;2120;69.33333333;US
20;0.028;3156;1141.333333;DS
21;0.021;670;277.3333333;US
22;0.036;529.5;133.3333333;DS
23;0.043;14034.5;64;US
24;0.038;4141.5;186.6666667;DS
25;0.108;540;42.66666667;US
27;0.113;10040;32;US
28;0.06;8342;42.66666667;DS
30;0.296;26002;5.333333333;DS
