SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;1.2;101.5667;1.3667;Bannow Bay;BW060
2;0.3775;100.0667;0.8333;Bannow Bay;BW070
3;0.31;95.1;2.45;Bannow Bay;BW080
4;6.2;108.75;7.75;Bannow Bay;BW090
5;0.2375;93.8;0.5;Bannow Bay;BW100
6;0.18;95.65;0.5;Bannow Bay;BW110
7;1.16;110.1333;7.85;Cork Harbour;LE380
8;0.847;97.45;6.42;Cork Harbour;LE380
9;0.875;110.85;6.4125;Cork Harbour;LE380
10;0.64;106.0333;9.8333;Cork Harbour;LE380
11;0.645;92.85;2.76;Cork Harbour;LE380
12;0.5375;96.5667;4.5417;Cork Harbour;LE380
13;0.76;104.49;5.41;Cork Harbour;LE380
14;0.595;107.3625;6.7375;Cork Harbour;LE380
15;0.545;110.4667;6.15;Cork Harbour;LE380
16;0.42;103.4167;6.6833;Cork Harbour;LE380
17;0.585;108.7333;2.9333;Cork Harbour;LE380
18;0.63;119.45;10.4333;Cork Harbour;LE380
19;0.5725;101.6667;4.45;Cork Harbour;LE610
20;0.5;105.3;1.9;Cork Harbour;LE610
21;0.42;98.975;5.3;Cork Harbour;LE610
22;0.35;95.5;2.9;Cork Harbour;LE610
23;0.35;97.95;4.1;Cork Harbour;LE620
24;0.235;93.5417;2.4333;Cork Harbour;LE620
25;0.35;98.4667;3.5333;Cork Harbour;LE620
26;0.39;103.35;3.7833;Cork Harbour;LE620
27;0.18;104.8167;4.7833;Cork Harbour;LE620
28;0.23;104.8833;5.4;Cork Harbour;LE620
29;0.16;110.25;4.3;Cork Harbour;LE620
