SampleID;x1;x2;y
Uramo;8.67;0.1156;0.92
Saimaa_Luonteri;5.15;0.1;1
Pihlajavesi_keskusallas;8.31;0.17;1
Kuolimo;4.17;0.11;0.68
Puruvesi_keskusallas;5.23;0.17;0.74
Haukivesi_keskusallas;10.97;0.04;1
Haukivesi_Siitinselkä-Vuoriselkä;19.66;0.1;0.77
Nevajärvi;43.2;0.3162;0.78
Kangasjärvi;39.4;0.2;0.73
Orivesi_Heposelkä;15.16;0.1;0.73
Reilampi;73;0.1;0.46
Riihilampi;115;0.1;0.41
Pyhäselkä;10.94;0.18;0.61
Pyhäjärvi;5.96;0.15;0.85
Ätäskö;22.83;0.15;1
Pielinen_pääallas;11.71;0.23;0.72
Kuokkastenjärvi;24;0.23;0.73
Lautiainen;29.5;0.23;0.69
Savijärvi;7.5;0.1;0.91
Kelvänjärvi;17.5;0.1;0.64
Mujejärvi;13.33;0.3;0.78
Kuohattijärvi;10.15;0.28;0.91
Ruunaanjärvi;9.21;0.2628;0.84
Haapajärvi;78.08;0.5;0.56
Viitaanjärvi;45.5;0.6;0.55
Muuruvesi-Akonvesi;22.41;0.15;0.75
Syväri;19.25;1.5;0.59
Sälevä;17.57;2.5;0.46
Kiltuanjärvi;13.01;1.8;0.46
Kajoonjärvi;8.19;0.27;1
Höytiäinen;9.67;0.7;0.56
Jäsys-Retujärvi;17.5;0.4;0.55
Palojärvi;18.83;1.8;0.52
Koitere;9.15;1.76;0.74
Suomunjärvi;7.43;0.3;0.73
Harkkojärvi;20;0.3;0.73
Rapojärvi-Haukkajärvi;11.15;0.23;1
Päijänne_etel;10.42;0.44;0.73
Pieni-Myhi;12;0.1751;0.88
Mehtiö;15;0.1751;1
Ahveninen;12;0.1751;1
Pieksänjärvi;32.88;0.2;0.78
Puula_Ruovedenselkä-Vuojaselkä;14;0.2;1
Synsiä;12.8;0.18;1
Kyyvesi_Suovunselkä;66.71;0.21;0.69
Hiidenvesi;52.88;0.46;0.98
Kirkkojärvi;99.54;0.7;0.59
Koskeljärvi;20.75;0.15;0.77
Narvijärvi;20.25;0.1;0.59
Pyhäjärvi;20.11;0.06;0.71
Köyliönjärvi;120;0.17;0.39
Rautavesi;23.09;0.48;0.84
Kulovesi;20.93;0.45;0.92
Pyhäjärvi_pohjoinen;12.44;0.72;0.84
Näsijärvi;8.94;0.99;0.76
Ähtärinjärvi;23.33;1.26;0.78
Kuivajärvi;40.5;0.25;0.69
Salkolanjärvi;10.9;0.15;0.84
Isojärvi;61.65;0.35;0.55
Inhottujärvi;81.43;0.2;0.48
Karhijärvi;47.94;0.11;0.59
Kuortaneenjärvi;49.24;0.68;0.65
Lappajärvi;23.98;0.64;0.94
Lestijärvi;18;0.19;0.64
Iso Lamujärvi;16.25;0.79;0.56
Oulujärvi;13.15;1.54;0.65
Iijärvi;15;1.19;0.76
Iso-Pyhäntä;14;3.5;0.55
Kiantajärvi;7.82;3.12;0.58
Piispajärvi;10.77;0.3;0.47
Vuokkijärvi;19;4.71;0.36
Rehja-Nuasjärvi;14.03;1.52;0.68
Iso-Kiimanen;16;1.43;0.58
Jormasjärvi;9.25;0.41;1
Ontojärvi-Nurmesjärvi;12;3.51;0.65
Lammasjärvi;17.67;0.55;0.79
Lentua;10.05;0.4;1
Änättijärvi;9;0.32;1
Kellojärvi-Korpijärvi;9.3;0.43;0.79
Jongunjärvi;20.61;0.35;0.68
Kostonjärvi;11.38;4;0.5
Iso-Kaarni;10.67;3.13;0.39
Näskäjärvi;5.5;1.16;0.32
Kemijärvi;14.97;6.75;0.43
Ala-Suolijärvi_Oivanjärvi;9.8;2.27;0.36
Pallasjärvi_Pallaslompolo;4.57;0.3;0.73
Iso-Vietonen;12.25;2.62;0.36
Raanujärvi;14.5;1.75;0.68
Inarijärvi_Anarjävri;4.05;1.19;0.77
Nitsijärvi;1.5;0.3;0.85
Mutusjärvi;4;0.37;1
Rahajärvi_Raahajävri;6.75;1.75;0.39
Kieskisjärvi;8;0.3;1
