SampleID;x1;x2;y;RandomEffect
1;0.042;344;74.73684211;US
2;0.003;1178;86.875;DS
3;0.022;8061;91.53846154;US
4;0.066;11865;66;DS
5;1.809;2895;70.90909091;US
6;3.146;958.5;75.38461538;DS
7;0.021;3062.5;107.0967742;US
8;0.02;3455.5;76.92307692;DS
9;0.009;504;106.9565217;US
10;0.007;4214.5;102.8571429;DS
11;0.027;11266.5;105.2941176;US
12;0.032;1105.5;102.1428571;DS
13;0.043;63.5;96.66666667;US
14;0.06;659;100.625;DS
15;0.02;1629;103.3333333;US
16;0.018;3648.5;92;DS
17;0.044;1860.5;92;US
18;0.014;1015;106.25;DS
19;0.097;2120;86.4516129;US
20;0.028;3156;109.7435897;DS
21;0.021;670;93.57142857;US
22;0.036;529.5;108.2758621;DS
23;0.043;14034.5;91.17647059;US
24;0.038;4141.5;94.66666667;DS
25;0.108;540;80;US
27;0.113;10040;83.15789474;US
28;0.06;8342;92;DS
30;0.296;26002;79.23076923;DS
