SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;0.017;31.2;0.5;2005;6
2;0.015;31.2;12.55;2005;6
3;0.038;29.1;0.5;2005;9
4;0.029;29.1;0.5;2005;9
5;0.08;21.5;0.5;2005;10
6;0.098;21.5;0.5;2005;10
7;0.029;31.1;2;2006;6
8;0.03;31.1;2;2006;6
9;0.098;28;0.53;2006;7
10;0.082;28;0.5;2006;7
11;0.013;35;19.76;2006;8
12;0.01;35;19.22;2006;8
13;0.01;31.5;8.54;2006;9
14;0.01;31.5;7.48;2006;9
15;0.094;24.9;6.94;2006;10
16;0.094;24.9;4.81;2006;10
17;0.03;18.4;2.67;2006;11
18;0.028;18.4;2.67;2006;11
19;0.03;18.4;2.67;2006;11
20;0.028;18.4;2.67;2006;11
21;0.111;14.8;3.74;2007;1
22;0.11;14.8;3.74;2007;1
23;0.139;19.9;1;2007;3
24;0.15;19.9;1.14;2007;3
25;0.116;16.2;0.47;2007;4
26;0.088;16.2;0.4;2007;4
27;0.169;28.5;5.67;2007;5
28;0.227;28.5;9.53;2007;5
29;0.01;34.1;12.87;2007;6
30;0.01;34.1;13.23;2007;6
31;0.01;34.1;12.87;2007;6
32;0.01;34.1;13.23;2007;6
33;0.01;33.9;29.59;2007;8
34;0.01;33.9;26.45;2007;8
35;0.01;31.7;17.92;2007;9
36;0.01;31.7;13.5;2007;9
37;0.038;27.4;8.22;2007;10
38;0.01;27.4;8.16;2007;10
39;0.01;20.3;6.7;2007;11
40;0.01;20.3;8;2007;11
41;0.121;21.2;26.71;2007;12
42;0.117;21.2;22;2007;12
43;0.026;15.9;1.16;2008;1
44;0.03;15.9;1.35;2008;1
45;0.028;16.2;0.38;2008;2
46;0.025;16.2;1.29;2008;2
47;0.034;19;0.81;2008;3
48;0.033;19;1.18;2008;3
49;0.034;19;0.81;2008;3
50;0.033;19;1.18;2008;3
51;0.02;26.3;0.97;2008;4
52;0.04;26.3;0.41;2008;4
53;0.038;26.5;1.1;2008;5
54;0.03;26.5;1.24;2008;5
55;0.018;28.4;1.63;2008;6
56;0.02;28.4;1.94;2008;6
57;0.047;32.8;1.48;2008;9
58;0.04;32.8;1.99;2008;9
59;0.01;23.5;1.31;2008;10
60;0.01;23.5;1.37;2008;10
61;0.01;14.9;2.8;2008;11
62;0.01;14.9;1.76;2008;11
63;0.01;12.9;33.52;2008;12
64;0.01;12.9;26.96;2008;12
65;0.051;14.9;9.48;2009;2
66;0.024;14.9;10.06;2009;2
67;0.031;28.2;12.71;2009;4
68;0.028;28.2;14.08;2009;4
69;0.169;27.6;2.76;2009;5
70;0.02;27.6;2.73;2009;5
71;0.01;33.8;6.15;2009;6
72;0.01;33.8;6.25;2009;6
73;0.062;29.3;1.04;2009;8
74;0.08;29.3;0.88;2009;8
75;0.036;30;1.73;2009;9
76;0.019;30;1.29;2009;9
77;0.01;18.4;2.19;2009;10
78;0.03;18.4;4.6;2009;10
79;0.016;17.3;2.76;2009;11
80;0.013;17.3;0.92;2009;11
81;0.032;16.5;1.33;2009;12
82;0.026;16.5;1.93;2009;12
83;0.062;14.2;0.58;2010;1
84;0.064;13.5;0.49;2010;1
85;0.06;13.3;0.56;2010;1
86;0.062;13.5;0.8;2010;1
87;0.102;14.2;2.87;2010;1
88;0.098;15;3.18;2010;1
89;0.098;12.2;3.68;2010;1
90;0.078;14;3.11;2010;1
91;0.088;14.1;2.87;2010;1
92;0.092;13.6;2.43;2010;1
93;0.091;13.2;1.89;2010;1
94;0.073;12.7;0.6;2010;1
95;0.083;11.9;16.57;2010;1
96;0.084;11.9;10.17;2010;1
97;0.01;12.8;17.7;2010;2
98;0.01;12.8;13.86;2010;2
99;0.01;12.8;17.7;2010;2
100;0.01;12.8;13.86;2010;2
101;0.103;14;2.67;2010;3
102;0.173;14.1;2.76;2010;3
103;0.069;14.1;2.55;2010;3
104;0.107;14.3;2.71;2010;3
105;0.087;14.7;2.43;2010;3
106;0.104;14.3;2.47;2010;3
107;0.141;14.9;2.33;2010;3
108;0.073;14.7;3.09;2010;3
109;0.17;14.8;2.96;2010;3
110;0.159;15.6;2.03;2010;3
111;0.196;15.1;2.03;2010;3
112;0.188;14.8;1.8;2010;3
113;0.018;14.6;9.06;2010;3
114;0.01;14.6;8.77;2010;3
115;0.018;14.6;9.06;2010;3
116;0.01;14.6;8.77;2010;3
117;0.01;23.1;1.5;2010;4
118;0.01;23;0.89;2010;4
119;0.01;23;2.07;2010;4
120;0.01;22.9;0.88;2010;4
121;0.01;22.4;1.37;2010;4
122;0.01;22.3;1.38;2010;4
123;0.01;21.9;0.8;2010;4
124;0.01;21.9;0.74;2010;4
125;0.01;34;1.75;2010;6
126;0.119;33.6;2.27;2010;6
127;0.124;32.5;3.65;2010;6
128;0.114;32.3;5.59;2010;6
129;0.01;31.9;46.29;2010;6
130;0.01;31.4;84.41;2010;6
131;0.01;31.2;58.13;2010;6
132;0.01;30.8;5.71;2010;6
133;0.01;31.3;2.91;2010;6
134;0.068;32;2.93;2010;6
135;0.092;32.5;2.07;2010;6
136;0.019;32.5;4.61;2010;6
137;0.017;32.5;4.73;2010;6
138;0.23;34.6;3.45;2010;7
139;0.275;34.7;3.09;2010;7
140;0.165;34.4;2.96;2010;7
141;0.15;33.4;39.84;2010;7
142;0.01;32.4;46.19;2010;7
143;0.014;31.9;26.83;2010;7
144;0.11;31.4;7.84;2010;7
145;0.184;31.3;3.7;2010;7
146;0.426;31.3;2.56;2010;7
147;0.265;32.6;3.23;2010;7
148;0.137;34;3.05;2010;7
149;0.134;35.1;6.11;2010;7
150;0.01;35.2;7.78;2010;7
151;0.01;35.2;7.73;2010;7
152;0.011;31;0.51;2010;8
153;0.01;30.9;0.27;2010;8
154;0.01;30.8;0.25;2010;8
155;0.01;30.6;0.29;2010;8
156;0.01;29.8;0.23;2010;8
157;0.265;28.9;1.5;2010;8
158;0.218;28.7;2.82;2010;8
159;0.108;28.1;1.57;2010;8
160;0.198;28.7;2.54;2010;8
161;0.013;30.3;0.58;2010;8
162;0.01;31.3;0.19;2010;8
163;0.01;31.2;0.46;2010;8
164;0.043;32.2;4.07;2010;8
165;0.056;32.2;4.26;2010;8
166;0.01;31.5;7.66;2010;9
167;0.01;33.8;6.26;2010;9
168;0.01;32.2;11.16;2010;9
169;0.01;32.9;12.07;2010;9
170;0.01;32.5;13.1;2010;9
171;0.01;31.8;8.58;2010;9
172;0.01;31.1;8.91;2010;9
173;0.012;30.5;6.99;2010;9
174;0.01;29.9;11.4;2010;9
175;0.016;29;11.01;2010;9
176;0.01;29.7;13.43;2010;9
177;0.01;30.5;10.86;2010;9
178;0.01;31;29.91;2010;9
179;0.01;31;24.69;2010;9
180;0.016;21.6;5.1;2010;10
181;0.01;21.6;13.56;2010;10
182;0.01;22.3;9.1;2010;10
183;0.01;23;6.02;2010;10
184;0.013;24.2;4.36;2010;10
185;0.01;24.3;5.21;2010;10
186;0.01;23.1;6.56;2010;10
187;0.01;21.6;3.75;2010;10
188;0.025;21.9;3.25;2010;10
189;0.013;20.3;5.32;2010;10
190;0.017;21.8;5.22;2010;10
191;0.018;21.6;7.6;2010;10
192;0.047;21.9;3.03;2010;10
193;0.021;21.9;3.95;2010;10
194;0.047;21.9;3.03;2010;10
195;0.021;21.9;3.95;2010;10
196;0.17;16.4;3.39;2010;11
197;0.2;16.5;3.43;2010;11
198;0.13;17.2;3.55;2010;11
199;0.077;17.7;4.22;2010;11
200;0.075;18.2;4.48;2010;11
201;0.077;17.9;4.17;2010;11
202;0.031;17.7;4.53;2010;11
203;0.075;17.7;6.29;2010;11
204;0.049;17.8;6.21;2010;11
205;0.053;17.6;5.25;2010;11
206;0.025;17.4;4.82;2010;11
207;0.085;17.4;5.15;2010;11
208;0.01;17.6;7.33;2010;11
209;0.01;17.6;9.86;2010;11
210;0.01;11.8;14.29;2010;12
211;0.01;11.8;16.06;2010;12
212;0.017;9.6;9.78;2011;1
213;0.01;11.7;6.77;2011;1
214;0.01;12.9;5.53;2011;1
215;0.01;12.9;4.37;2011;1
216;0.01;12.8;2.84;2011;1
217;0.01;13.3;2.95;2011;1
218;0.01;13.2;2.73;2011;1
219;0.01;12.9;4.03;2011;1
220;0.01;12.5;6.32;2011;1
