SampleID;x1;x2;y;RandomEffect
1;10.33333333;13.17;2.945;ELATAGH
2;16.83333333;13.735;1.849;ELATAGH
3;13.16666667;17.085;2.673;ELATAGH
4;6.692307692;14.85;1.493;MOURNE BEG
5;5;13.06;2.594;STRANAGOPPOGE
6;7.666666667;13.495;1.945;STRANAGOPPOGE
7;5;18.5;1.802;STRANAGOPPOGE
8;77.75;14.69;2.341;BLACKWATER (MONAGHAN)
9;84.33333333;15.04;2.47;BLACKWATER (MONAGHAN)
10;8.416666667;13.07;1.226;BIG (LOUTH)
11;12.33333333;12.83;1.629;BIG (LOUTH)
12;9.166666667;12.95;1.419;BIG (LOUTH)
13;41.58333333;16.58;2.491;DEE
14;41.41666667;14.58;2.584;DEE
15;32.41666667;17.4;2.966;DEE
16;33.375;14.63;3.182;FANE
17;56.08333333;15.59;3.329;FANE
18;34.16666667;16.67;3.058;FANE
19;134.1666667;12.57;2.976;WHITE (LOUTH)
20;129;13.65;2.937;WHITE (LOUTH)
21;181.5833333;14;2.95;WHITE (LOUTH)
22;19.83333333;15.44;2.709;ATHBOY
23;15.25;13.08;2.944;ATHBOY
24;11.41666667;13.84;2.804;ATHBOY
25;39.58333333;14.93;1.847;BLACKWATER (KELLS)
26;41.33333333;16.99;2.649;BLACKWATER (KELLS)
27;42.66666667;16.49;2.646;BLACKWATER (KELLS)
28;36.22727273;13.325;2.831;BOYNE
29;35.85714286;12.58;2.895;BOYNE
30;21.66666667;14.15;2.32;BOYNE
31;36.44444444;15.88;2.58;BOYNE
32;14.58333333;16.88;2.258;BOYNE
33;63.5;15.74;2.708;NANNY (MEATH)
34;57.66666667;13.6;2.863;NANNY (MEATH)
35;37.75;14.72;2.751;NANNY (MEATH)
36;28.35714286;14.31;3.013;DODDER
37;55.5;14.46;2.92;DODDER
38;15.09090909;14.315;2.042;DODDER
39;7.588235294;14.96;2.451;LIFFEY
40;13.23529412;15.545;1.778;LIFFEY
41;5;16;1.625;LIFFEY
42;41.64705882;15.26;3.236;LIFFEY
43;38.94117647;14.645;2.82;LIFFEY
44;22.66666667;18.02;3.137;LIFFEY
45;75.17647059;14.61;2.105;RYE WATER
46;71.23529412;14.435;2.734;RYE WATER
47;37.25;13.54;2.554;RYE WATER
48;5;12.33;1.652;AVONBEG
49;5;11.94;1.859;AVONBEG
50;5;14.52;1.502;AVONBEG
51;9.5;14.74;2.809;DARGLE
52;7.833333333;12.2;1.534;GLENCREE
53;5.416666667;11.22;1.817;GLENCREE
54;5;14.16;1.84;GLENCREE
55;5.4;14.35;2.799;GLENEALO
56;5;12.76;2.701;GLENEALO
57;5;17.8;2.308;GLENEALO
58;8.25;13.41;2.652;VARTRY
59;13.58333333;12.44;2.609;VARTRY
60;5;14.76;2.035;VARTRY
61;47;15.69;2.012;BANOGE
62;43.5;13.93;2.702;BANOGE
63;78.14285714;16.565;2.555;OWENAVORRAGH
64;88.91666667;15.435;2.45;OWENAVORRAGH
65;6.333333333;13.93;1.755;CLODY
66;12.36363636;11.54;0.9976;CLODY
67;8;9.59;1.977;CLODY
68;22.83333333;13.4;2.827;DERRY
69;16.83333333;11.51;2.843;DERRY
70;17.66666667;13.94;2.901;DERRY
71;42.58333333;13.71;2.345;DOUGLAS (BALLON)
72;47.25;13.73;2.454;DOUGLAS (BALLON)
73;47.90909091;15.78;2.576;DOUGLAS (BALLON)
74;9.166666667;14.06;1.467;SLANEY
75;7.333333333;11.82;1.992;SLANEY
76;7.916666667;15.07;2.569;SLANEY
77;21.94117647;14.495;2.562;SLANEY
78;26.38461538;16.44;2.146;SLANEY
