SampleID;x1;x2;y
1;691;99;14.2
2;1044;94;23.4
3;1059;74;17
4;640;164;5.5
5;1040;190;8.7
6;1454;193;7.7
7;1163;325;15.3
8;1424;260;10
9;1264;175;32.4
10;1410;255;10.8
11;1308;117;14.6
12;987;187;3.4
13;1837;355;2.9
14;2098;337;6.4
15;2172;405;3.9
16;1458;149;10
17;1594;52;13.6
18;2208;67;16.3
19;1800;122;20.2
20;1331;66;14.6
21;1253;70;10.7
22;2746.422494;206;10.9
23;2124.066532;68;16
24;1335.577224;262;7.1
25;1753.567297;128;22.5
26;3148.018593;129;18.3403
27;2484.972307;157;22.8
28;2209.277671;95;39.7
29;2392.25912;128;24.3
30;1697.09918;102;23.5
31;1750.2122;232;8.4
32;3138.570291;152;21.7
33;2715.280855;177;15.4
34;2663.859495;210;15.9
35;2971.4754;139;21.7
36;2881.546929;49;17.2
37;2477.336047;108;20.9
38;2789.551854;244;14.9
39;2751.514912;315;7.9
40;2804.604471;179;6.6
41;1792.427291;180;18.1
