SampleID;x1;x2;y;RandomEffect
1;0.073;344;12208;US
2;0.03;1178;28672;DS
3;0.07;8061;19565.33333;US
4;0.035;11865;1498.666667;DS
5;0.369;2895;29858.66667;US
6;1.796;958.5;28325.33333;DS
7;0.05;3062.5;4797.333333;US
8;0.04;3455.5;2669.333333;DS
9;0.039;504;15504;US
10;0.033;4214.5;26688;DS
11;0.125;11266.5;7794.666667;US
12;0.123;1105.5;11120;DS
13;0.089;63.5;49968;US
14;0.079;659;32440;DS
15;0.087;1629;26266.66667;US
16;0.053;3648.5;25418.66667;DS
17;0.055;1860.5;2384;US
18;0.041;1015;826.6666667;DS
19;0.092;2120;34826.66667;US
20;0.051;3156;35661.33333;DS
21;0.049;670;4037.333333;US
22;0.056;529.5;5002.666667;DS
23;0.085;14034.5;20533.33333;US
24;0.072;4141.5;20021.33333;DS
25;0.128;540;21426.66667;US
27;0.337;10040;62789.33333;US
28;0.457;8342;41120;DS
30;0.066;26002;8261.333333;DS
