SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;0.118;1.3;19.96;2016;CBVTC
2;0.127;1.3;25.95;2016;CBVTC
3;0.088;1.2;22.12;2016;CBVTC
4;0.005;4.6;0;2016;CBVTC
5;0.0039;5.6;71.23;2016;CBVTC
6;0.006;5.8;64.9;2016;CBVTC
7;0.0039;4.2;66.72;2016;CBVTC
8;0.0368;9;10.09;2017;CBVTC
9;0.0397;9;10.06;2017;CBVTC
10;0.0483;8.4;6.47;2017;CBVTC
11;0.0175;10.7;19.77;2017;CBVTC
12;0.0044;11.9;18.87;2017;CBVTC
13;0.0047;12;19.57;2017;CBVTC
14;0.021;10.1;21.24;2017;CBVTC
15;0.0411;8.1;10.6;2017;CBVTC
16;0.0031;12.7;23.56;2017;CBVTC
17;0.0031;12.7;24.64;2017;CBVTC
18;0.0084;12.7;12.37;2017;CBVTC
19;0.0084;12.7;12.37;2017;CBVTC
20;0.0031;16.3;19.06;2017;CBVTC
21;0.0031;17.1;16.78;2017;CBVTC
22;0.0031;17.2;14.79;2017;CBVTC
23;0.0031;15.8;14.07;2017;CBVTC
24;0.1033;3.7;14.7;2018;CBVTC
25;0.1178;3.5;12.19;2018;CBVTC
26;0.1393;2.9;13.1;2018;CBVTC
27;0.208;7.1;23.68;2018;CBVTC
28;0.1593;7.7;25.3;2018;CBVTC
29;0.1678;7.7;26.02;2018;CBVTC
30;0.1505;6.3;23.61;2018;CBVTC
31;0.0907;3.4;11.05;2018;CBVTC
32;0.013;10.8;25.61;2016;CBVCB
33;0.007;10.8;20.28;2016;CBVCB
34;0.0037;14.5;9.66;2017;CBVCB
35;0.0044;14.5;8.36;2017;CBVCB
36;0.0031;19.4;11.18;2017;CBVCB
37;0.0031;19.4;11.13;2017;CBVCB
38;0.1812;9.5;12.37;2018;CBVCB
39;0.1629;9.5;11.1;2018;CBVCB
40;0.0039;16.3;4.74;2016;CBVGI
41;0.0039;16.3;5.11;2016;CBVGI
42;0.0046;19.4;4.71;2017;CBVGI
43;0.0046;19.4;5.06;2017;CBVGI
44;0.0031;21.1;6.68;2017;CBVGI
45;0.0031;21.1;7.16;2017;CBVGI
46;0.0234;16.2;14.57;2018;CBVGI
47;0.0263;16.1;14.31;2018;CBVGI
48;0.192;0;14.41;2016;CBVSH
49;0.175;0;15;2016;CBVSH
50;0.2439;0.5;4.68;2017;CBVSP
51;0.2388;0.5;4.98;2017;CBVSP
52;0.0031;4.8;23.99;2017;CBVSP
53;0.0031;4.8;23.92;2017;CBVSP
54;0.3722;0;2.88;2018;CBVSP
55;0.3561;0;2.53;2018;CBVSP
56;0.037;9.6;10.86;2010;CBVTC
57;0.027;9.6;8.74;2010;CBVTC
58;0.0251;8.7;8.66;2010;CBVTC
59;0.0598;16.8;14.59;2010;CBVTC
60;0.0664;17.1;15.23;2010;CBVTC
61;0.0725;16.8;12.95;2010;CBVTC
62;0.199;4.9;32.45;2012;CBVTC
63;0.094;4.9;24.35;2012;CBVTC
64;0.274;3.8;14.62;2012;CBVTC
65;0.173;6.6;52.47;2012;CBVTC
66;0.094;6.5;49.97;2012;CBVTC
67;0.151;6.2;47.12;2012;CBVTC
68;0.206;3.5;22.9;2012;CBVTC
69;0.003;6.7;28.44;2012;CBVTC
70;0.0014;8.4;29.88;2012;CBVTC
71;0.0014;8.6;28.46;2012;CBVTC
72;0.0014;8.5;28.15;2012;CBVTC
73;0.0014;6.1;28.68;2012;CBVTC
74;0.012;5.7;41.88;2012;CBVTC
75;0.01;5.7;46.71;2012;CBVTC
76;0.023;4;22.47;2012;CBVTC
77;0.063;10.8;31.66;2012;CBVTC
78;0.062;11.7;32.97;2012;CBVTC
79;0.051;12;34.25;2012;CBVTC
80;0.041;10.6;32.81;2012;CBVTC
81;0.0235;7.7;22.47;2013;CBVTC
82;0.0635;9.3;31.66;2013;CBVTC
83;0.0625;9.1;32.97;2013;CBVTC
84;0.0514;5.6;34.25;2013;CBVTC
85;0.0408;3.9;32.81;2013;CBVTC
86;0.042;11;9.71;2014;CBVTC
87;0.052;11;11.39;2014;CBVTC
88;0.064;11;7.03;2014;CBVTC
89;0.122;14.4;14.17;2014;CBVTC
90;0.029;15.2;24.83;2014;CBVTC
91;0.033;15.5;23.98;2014;CBVTC
92;0.079;14.6;14.8;2014;CBVTC
93;0.051;11.9;8.2;2014;CBVTC
94;0.089;1.9;26.87;2016;CBVTC
95;0.033;3.9;48.95;2016;CBVTC
96;0.0039;5.6;68.08;2016;CBVTC
97;0.0039;5.8;69.06;2016;CBVTC
98;0.031;3.9;66.04;2016;CBVTC
99;0.085;2;36.02;2016;CBVTC
100;0.0087;11;18;2017;CBVTC
101;0.0051;11.6;15.25;2017;CBVTC
102;0.0041;11.6;17.97;2017;CBVTC
103;0.0265;9.6;15.73;2017;CBVTC
104;0.057;7.3;9.48;2017;CBVTC
105;0.0031;12.7;13.6;2017;CBVTC
106;0.0031;16.9;17.21;2017;CBVTC
107;0.0031;17.4;17.73;2017;CBVTC
108;0.0031;17.3;21.16;2017;CBVTC
109;0.0031;14.9;21.76;2017;CBVTC
110;0.0036;13.8;27.71;2017;CBVTC
111;0.1527;7.4;38.06;2018;CBVTC
112;0.1458;8.4;37.13;2018;CBVTC
113;0.1367;8.4;30.98;2018;CBVTC
114;0.1545;6;32.17;2018;CBVTC
115;0.1408;3.4;18.3;2018;CBVTC
116;0.1553;9.2;2;2003;CBVCB
117;0.1752;9.2;1.8;2003;CBVCB
118;0.075;20.1;1.9;2010;CBVCB
119;0.076;20.1;1.82;2010;CBVCB
120;0.072;10.5;24.81;2012;CBVCB
121;0.068;10.5;25.69;2012;CBVCB
122;0.039;14.8;12.08;2012;CBVCB
123;0.036;14.8;11.93;2012;CBVCB
124;0.23;17.8;4.28;2014;CBVCB
125;0.208;17.8;2.93;2014;CBVCB
126;0.0871;18;2.2;2003;CBVGI
