SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;8;22.7;1.8;2002;APACP
2;8;22.7;1.8;2002;APACP
3;7.8;23.4;3.4;2002;APACP
4;7.8;23.4;2.6;2002;APACP
5;7.9;27.8;3.7;2002;APACP
6;7.9;27.8;3;2002;APACP
7;8;28;0.8;2002;APACP
8;8;28;0.8;2002;APACP
9;7.8;25;2.6;2002;APACP
10;7.8;25;2.1;2002;APACP
11;8;24.8;3.4;2002;APACP
12;8;24.8;4;2002;APACP
13;8;10.2;12.816;2003;APACP
14;8;10.2;13.67;2003;APACP
15;8;27.4;1.709;2003;APACP
16;8.5;12.8;2.136;2003;APACP
17;8.5;12.8;2.136;2003;APACP
18;8.5;23.3;2.6;2004;APACP
19;8.5;23.3;2.6;2004;APACP
20;8.5;19.1;2.6;2004;APACP
21;8.5;19.1;2.6;2004;APACP
22;8;24.3;3.8;2004;APACP
23;8;24.3;3.4;2004;APACP
24;7.9;17;3.8;2004;APACP
25;7.9;17;4.5;2004;APACP
26;7.9;21;32;2004;APACP
27;7.9;16.7;4.3;2004;APACP
28;7.9;16.7;4.3;2004;APACP
29;8.2;26;0.5;2004;APACP
30;8.2;26;0.8;2004;APACP
31;7.9;15.3;0.98;2005;APACP
32;7.9;15.3;0.5;2005;APACP
33;7.5;10.7;1.71;2005;APACP
34;7.5;10.7;1.28;2005;APACP
35;8.3;28.3;2.56;2005;APACP
36;8.3;28.3;2.56;2005;APACP
37;8.1;30.5;2.56;2005;APACP
38;8.1;30.5;2.56;2005;APACP
39;8.1;10.1;5.25;2006;APACP
40;8.1;10.1;4.23;2006;APACP
41;7.9;11.8;4.74;2006;APACP
42;7.9;11.8;4.68;2006;APACP
43;7.8;25.1;10.3;2006;APACP
44;7.9;19.2;6.88;2006;APACP
45;7.9;19.2;7.82;2006;APACP
46;7.7;21.2;2.31;2006;APACP
47;7.7;21.2;2.73;2006;APACP
48;8.5;25.1;4.91;2006;APACP
49;8.5;25.1;4.96;2006;APACP
50;7.8;14;4.7;2007;APACP
51;7.8;14;4.2;2007;APACP
52;8.1;16.3;1.8;2007;APACP
53;8.1;16.3;4.3;2007;APACP
54;8.2;19.4;3.8;2007;APACP
55;7.8;33.1;2.9;2007;APACP
56;7.8;22.6;6.5;2007;APACP
57;7.8;22.9;8;2007;APACP
58;8.1;36;13.6;2007;APACP
59;8;35.2;4.2;2007;APACP
60;8.1;32.4;4.7;2007;APACP
61;8.3;33.5;2.7;2007;APACP
62;8.2;31.2;0.4;2008;APACP
63;8.1;17.9;3.4;2008;APACP
64;8.1;17.9;2.9;2008;APACP
65;8.1;17.9;2.9;2008;APACP
66;8.3;10.8;6.5;2008;APACP
67;8;11.7;4.9;2008;APACP
68;8.1;27;14.5;2008;APACP
69;7.8;25.5;7.5;2008;APACP
70;8;25.5;15.6;2008;APACP
71;8;19.5;5.8;2008;APACP
72;8.2;32.6;5.8;2008;APACP
73;8.2;32.3;2.9;2008;APACP
74;8.1;19.6;5.4;2008;APACP
75;8.1;14.7;6.9;2009;APACP
76;8.4;21.5;8;2009;APACP
77;8.2;14.9;5.6;2009;APACP
78;7.8;13.8;6;2009;APACP
79;7.8;13.8;5.8;2009;APACP
80;7.7;19;9.4;2009;APACP
81;8;12.5;6;2009;APACP
82;8.1;24.1;11.8;2009;APACP
83;8;23.4;19.7;2009;APACP
84;7.9;30.6;7.2;2009;APACP
85;7.9;30.6;8.3;2009;APACP
86;7.9;30.6;7.4;2009;APACP
87;7.5;8.1;5.8;2009;APACP
88;8.2;22.5;6.9;2009;APACP
89;8.1;20.6;2.7;2009;APACP
90;8;3.1;4.7;2010;APACP
91;7.8;3.8;5.1;2010;APACP
92;8.1;17.2;4.5;2010;APACP
93;8.1;15.2;5.1;2010;APACP
94;8.1;19.9;13.6;2010;APACP
95;8.1;23.3;13.4;2010;APACP
96;7.9;21;11.6;2010;APACP
97;7.9;25.5;11.6;2010;APACP
98;7.8;23.8;4.7;2010;APACP
99;7.8;23.8;4;2010;APACP
100;7.8;23.8;4.9;2010;APACP
101;7.8;27.9;3.8;2010;APACP
102;8.4;12.2;6.5;2010;APACP
103;8.6;30.7;3.8;2011;APACP
104;8;24.1;8.5;2011;APACP
105;8;24;8.9;2011;APACP
106;8;24;8.3;2011;APACP
107;8.4;22.9;4.7;2011;APACP
108;8.2;11.5;9.4;2011;APACP
109;8;19.2;10.5;2011;APACP
110;7.9;25.7;12.3;2011;APACP
111;7.9;22.4;14.7;2011;APACP
112;7.7;20.6;14.5;2011;APACP
113;7.8;22.3;10;2011;APACP
114;8.1;28.7;6.2;2011;APACP
115;8;33.5;6;2011;APACP
116;8.5;33.8;3.4;2011;APACP
117;7.8;26.9;6.7;2012;APACP
118;8.2;14.8;8.04;2012;APACP
119;7.6;18.9;5.81;2012;APACP
120;8;29.2;8.94;2012;APACP
121;8;29.2;9.16;2012;APACP
122;8;29.2;8.94;2012;APACP
123;7.8;27;9.38;2012;APACP
124;7.6;21;5.81;2012;APACP
125;7.6;21;5.59;2012;APACP
126;7.6;21;8.04;2012;APACP
127;7.8;25.9;6.7;2012;APACP
128;7.8;25.4;8.71;2012;APACP
129;7.9;26.5;13.85;2012;APACP
130;7.8;26.3;13.41;2012;APACP
131;7.8;26.3;12.29;2012;APACP
132;8.2;26.4;3.13;2012;APACP
133;8;28.9;2.46;2012;APACP
134;8.1;33.8;2.23;2013;APACP
135;8.1;23;4.02;2013;APACP
136;14;0.8;1.56;2013;APACP
137;14;0.8;2.68;2013;APACP
138;14;0.8;2.23;2013;APACP
139;7.9;8.8;10.5;2013;APACP
140;7.9;18.7;5.59;2013;APACP
141;7.6;31.7;5.81;2013;APACP
142;7.6;23;6.8;2013;APACP
143;7.5;21.1;11;2013;APACP
144;7.2;10.2;4.4;2013;APACP
145;7.8;25;7.4;2013;APACP
146;7.9;30.6;2.7;2013;APACP
147;7.6;19.7;5.9;2013;APACP
148;8.1;18.6;6.3;2014;APACP
149;7.8;13.3;3.8;2014;APACP
150;7.3;7.6;1.7;2014;APACP
151;7.5;15.1;11;2014;APACP
152;7.9;15.4;15;2014;APACP
153;8;24.9;6;2014;APACP
154;8.1;27.5;5.6;2014;APACP
155;8.1;15.4;5.6;2015;APACP
156;7.9;24.8;2.3;2015;APACP
157;8;23.6;8.3;2015;APACP
158;8;21.8;9.7;2015;APACP
159;8;28.5;9;2015;APACP
160;8;22.2;10;2015;APACP
161;8;22.2;11;2015;APACP
162;8;22.3;8.8;2015;APACP
163;8;19.4;11;2015;APACP
164;8;30.7;12;2015;APACP
165;7.9;24.2;6;2015;APACP
166;7.8;20.9;2.8;2015;APACP
167;8.1;26.2;1.6;2015;APACP
168;6.9;0.6;1.5;2016;APACP
169;8;19;7.9;2016;APACP
170;8.2;17;12;2016;APACP
171;8.2;17;12;2016;APACP
172;8.2;17;11;2016;APACP
173;8.2;14.2;15;2016;APACP
174;8;15.5;14;2016;APACP
175;7.9;20.4;10;2016;APACP
176;7.9;27.3;5.7;2016;APACP
177;7.9;27.3;7.7;2016;APACP
178;7.9;27.4;6.3;2016;APACP
179;7.8;21.1;6.1;2016;APACP
180;8.1;31.2;4.4;2016;APACP
181;8;26.2;4.1;2017;APACP
182;7.9;13;5.4;2017;APACP
183;8.1;23.1;4.9;2017;APACP
184;8.1;23.1;5.7;2017;APACP
185;8.1;23.1;5.1;2017;APACP
186;8.2;19.6;9.2;2017;APACP
187;7.9;19.9;11;2017;APACP
188;8.2;21.1;12;2017;APACP
189;8;14.2;13;2017;APACP
190;8.1;14.9;14;2017;APACP
191;8.1;21.1;11;2017;APACP
192;8;30;6.3;2017;APACP
193;8.3;19.9;7.9;2017;APACP
194;8.1;33;4.3;2017;APACP
195;8.1;30.2;3.2;2018;APACP
196;8.1;27.1;5.4;2018;APACP
197;8.3;14.4;12;2018;APACP
198;8;17.1;13;2018;APACP
199;7.8;21.4;12;2018;APACP
200;7.8;21.4;11;2018;APACP
201;7.8;21.4;11;2018;APACP
202;8;25.8;13;2018;APACP
203;7.8;15.4;9.5;2018;APACP
