SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;110;99.6;2.932033565;8;1
2;120;99.9;3.09427556;8;12
3;250;99.4;3.801087998;8;13
4;330;99;5.147329803;8;14
5;160;99.6;3.274655172;8;15
6;180;99.4;2.266169158;8;16
7;110;98;2.901681201;8;17
8;53;99.8;3.091007061;8;18
9;91;99.9;2.987687607;8;19
10;92;100;2.770889357;8;20
11;180;97.8;3.445195896;8;21
12;51;98.6;2.143183059;8;25
13;180;100;3.834035348;8;27
14;160;99.9;3.652100059;8;28
15;150;98.8;3.248418137;8;29
16;97;99.6;3.09427556;8;30
17;93;99.3;2.223533977;8;35
18;310;98.5;3.649518229;8;37
19;260;99.6;4.610912163;8;38
20;120;99.6;2.614494328;8;4
21;220;99.9;4.014445236;8;40
22;140;99.4;3.910903259;8;41
23;220;98.5;3.411194069;8;44
24;220;89.7;4.583134877;8;47
25;210;94.5;3.487831077;8;49
26;170;98.4;2.941772797;8;53
27;180;99.6;4.709492996;8;55
28;130;100;5.182553183;8;56
29;150;99.9;4.320856923;8;57
30;120;99.6;3.320377023;8;62
31;100;97.8;2.971289461;8;64
32;160;99.1;2.948332055;8;65
33;89;99.7;3.336968129;8;67
34;150;92.9;3.028682973;8;68
35;180;96.1;2.897472314;8;73
36;93;99.8;3.56982181;8;74
37;180;99.1;3.141830185;8;75
38;986.4;100.004;4.720271041;7;avon
39;372;100;4.970440689;7;dischargepoint
40;998.2;100.996;4.731303618;7;heathcote
41;424;100;4.517634681;7;heathcote
42;398;100;3.978359869;7;humphreysdrive
43;354.6;99.995;4.530753199;7;pleasantpointjetty
44;312;100;4.490179148;7;pleasantpointjetty
45;760;100;5.407187843;9;governors
46;672.5;100;5.476926255;9;governors
47;682.5;100;5.185039247;9;governors
48;647.5;100.05;5.321143863;9;hob
49;502.5;100;5.375257747;9;hob
50;590;100;4.906805272;9;hob
51;667.5;91.5;5.326063307;9;hob
52;637.5;100;3.884666224;11;okains
53;530;100;3.584580142;11;okains
54;525;100.025;3.407480159;11;okains
55;577.5;100;3.836206697;11;okains
56;620;100;4.535672643;11;okains
57;672.5;98.675;4.412686543;11;okains
58;692.5;100;4.45368191;11;okains
59;225.2;80.9;3.726928082;7;a
60;430;99.93333333;5.140764251;6;b
61;323;99.73;3.963197457;7;a
62;341;100.02;3.980795433;7;b
63;384;103.5;3.348446831;7;b
64;348.1666667;95.71666667;3.895020648;7;c
65;657.9166667;97.46666667;4.507925119;7;d
66;475;99.38;3.963377328;7;d
67;474;74.67;3.963197457;7;e
68;326;99.96;4.899711496;6;a
69;441;100.01;4.880435015;6;a
70;399;99.99;4.947266121;6;a
71;383.3333333;98.93333333;4.799127079;8;d
72;230;97.625;4.12110039;9;a
73;420;100;4.671932967;8;man-19
74;320;100;2.800827106;7;10
75;350;100;2.123138754;7;14
76;430;100;3.969936586;7;2
77;440;100;3.825632896;7;3
78;330;100.01;2.686176336;7;4
79;300;100.01;3.660011616;7;5
80;470;100;2.78435059;7;6
81;496.6666667;99.8;3.464009248;8;b
82;463.3333333;99.53333333;5.082459515;8;a
83;493.3333333;99.76666667;4.045395857;8;b
84;410;97.1;4.247660885;8;c
85;983.2;99.81;4.253415864;7;a
