SampleID;x1;x2;y
1;0.932666667;7.89;4.51
2;0.616875;7.87;1.34
3;0.56;7.945;1.525
4;0.697692308;7.885;1.82
5;0.9;7.98;4.339166667
6;0.532941176;7.945;1.105
7;0.714285714;7.965;5.861818182
8;0.405;8.12;7.132222222
9;0.760666667;7.89;1.563333333
10;0.67;8.51;9.755
11;0.4325;7.89;1.15
12;0.69;8.155;1.98
13;0.405555556;8.36;3.68
14;0.32;8.133333333;3.630833333
15;0.57875;8.006666667;2.314
16;0.973333333;8.153333333;14.69857143
17;0.539;7.88;1.568
18;0.586153846;7.79;2.236666667
19;0.445;8.29;5.58
20;0.355;8.36;4.7
21;0.23;8.32;4.933333333
22;0.53;8.26;4.965
23;0.499090909;8.25;5.28
24;0.19;8.15;5.35
25;0.2875;7.9;3.424
26;0.49125;8.48;12.23
27;0.57375;8.06;6.178571429
28;0.7375;8.54;27.965
29;0.43;8.16;3.271666667
30;0.45625;7.97;3.1
31;0.561;8.136666667;5.958888889
32;1.226666667;7.91;2.4325
33;0.305;7.99;4.81
34;0.695;7.925;6.345454545
35;0.81;8.29;11.98833333
36;0.55;7.915;2.7625
37;0.31;8.95;20.77142857
38;0.76;8.23;11.6875
39;0.522;8.765;34.95166667
40;0.434;8.475;19.64166667
41;0.545;8.03;3.076666667
42;0.558;7.965;2.46
43;0.526666667;8.79;24.13166667
44;0.97;8;2.216
45;0.516666667;8.3175;8.857272727
46;0.283333333;8.85;24.946
47;0.65;8.335;9.748
48;0.23;8.07;6.435
49;0.52;7.845;7.594
50;0.26;8.38;7.607272727
51;0.22;8.23;13.549
52;0.52;7.87;2.070833333
53;2.78;8.03;2.905555556
54;0.36;8.06;2.53625
55;2.87;8.515;17.99125
56;0.534;7.88;6.525555556
57;0.52;8.02;2.655384615
58;1.086666667;8.57;21
59;0.37;8.005;3.502222222
60;1.01;8.05;2.567272727
61;0.1;7.98;1.529230769
62;0.39;7.973333333;3.812631579
63;0.42;8.29;7.6525
64;0.498;8.008;6.040666667
65;0.642;8.08;4.61375
66;0.52;7.83;2.473
67;0.19;8.07;5.9125
68;0.45;7.93;3.36
69;0.5725;8.2;18.1
70;0.42;7.95;4.924
71;0.616666667;7.87;3.120909091
72;0.1;7.97;1.363636364
73;0.565;8.095;2.838888889
74;0.668;8;5.0475
75;0.13;8.205;6.51
76;1.985;8.01;2.741538462
77;0.29;7.925;3.227333333
78;1.005;8.12;2.005454545
79;1.255;7.985;2.371818182
80;0.603333333;7.975;2.374166667
81;0.65;8.115;3.41
82;0.59;7.965;3.376
83;0.565;8.2;3.056875
84;0.58;7.95;3.95
85;0.07;8.07;3.747142857
86;0.58;7.9875;5.652222222
87;0.08;7.905;3.14
88;0.345;8.05;4.075714286
89;0.32;8.05;1.71
90;0.67;8.04;0.985
91;0.42;8.08;0.75
92;0.03;8.08;4.345833333
93;0.516666667;8.1;0.9375
94;0.45;8.015;2.094545455
95;0.19;8.03;2.132
96;0.29;7.91;2.57125
97;0.65;8.1;2.905714286
98;0.525;7.97;11.55333333
99;0.48;8.13;1.754285714
100;0.3825;8.12;2.6625
101;0.385;8.025;2.384285714
102;1.03;7.9;2.05
103;0.465;8.05;11.2
104;0.74;8.13;4.405
105;0.6;8.0225;2.002222222
106;0.46;8.12;13.46
107;0.755;8.23;9.778
108;2.23;7.965;1.355
109;0.03;8.16;13.2425
110;0.54;8.14;5.03875
111;0.13;7.953333333;7.846666667
112;0.26;8.1;1.778333333
113;0.32;8.1175;2.388
114;0.27;8.09;3.035
115;0.52;8.065;2.942
116;0.26;8.01;14.48933333
117;0.55;8.13;6.102
118;0.47;8.08;6.775
119;0.455;8.11;2.801818182
120;0.4;7.98;1.678333333
121;0.44;8.1;7.468333333
122;0.55;7.875;6.341666667
123;0.356666667;7.98;1.578333333
124;0.55;8.125;5.830909091
125;0.336;8.08;4.6675
126;0.4425;8.025;4.008
127;1.51;8.02;2.951666667
128;0.61;7.975;2.308
129;0.655;8.02;2.284
130;0.76;8.12;5.8425
131;0.52;7.905;2.761666667
132;0.536666667;7.8;2.282
133;0.71;8.045;2.518
134;0.893333333;8.07;3.7425
135;0.5;8.402;1.14
