SampleID;x1;x2;y;RandomEffect1;RandomEffect2
163;120;4.2;2.267643991;7;pauab
164;396.6666667;6.666666667;2.306619694;7;poria
165;393.3333333;5.266666667;2.153694615;7;poria
166;146.6666667;8.866666667;1.148792935;7;porib
167;163.3333333;9.1;1.369172186;7;porib
168;333.3333333;10;2.254701569;6;a
169;376.6666667;9.5;2.231588906;6;a
170;523.3333333;10.73333333;2.179370018;6;a
171;416.6666667;6.866666667;2.882702386;6;a
172;363.3333333;6.466666667;2.661757128;6;a
173;343.3333333;4.566666667;2.429146094;6;a
174;430;7.7;2.932086405;6;b
175;410;7.666666667;2.593957957;6;b
176;363.3333333;7.133333333;2.797482574;6;b
177;318.75;7.686666667;1.452104998;7;a
178;375.1666667;8.853333333;1.438047927;7;a
179;367;8.81;1.632659933;7;a
180;335;8.97;1.86903605;7;a
181;328;8.33;1.63936835;7;a
182;331;8.39;1.523458435;7;a
183;328;7.65;2.127606367;7;a
184;340;7.51;1.906053573;7;a
185;323;7.18;2.059521937;7;a
186;344;7.99;2.097568003;7;a
187;318.75;7.686666667;1.72101156;7;b
188;362.3333333;8.319166667;1.742395256;7;b
189;366;7.93;1.73566492;7;b
190;340;8.34;1.790367193;7;b
191;293;7.77;1.537474674;7;b
192;314;7.74;1.600267722;7;b
193;331;8.38;2.026030275;7;b
194;321;9.23;2.186510222;7;b
195;384;8.35;1.995701003;7;b
196;345.1666667;7.509166667;1.815718474;7;c
197;348.1666667;7.891666667;1.365114239;7;c
198;384;8.42;1.572632402;7;c
199;657.9166667;40.46666667;2.215178571;7;d
200;711;32.2;2.035110896;7;d
201;647;29.9;2.997600413;7;d
202;703;33.9;2.713631453;7;d
203;729;28.5;2.918273567;7;d
204;677;30.1;2.863673643;7;d
205;603;22.72;3.190538194;7;d
206;475;21.9;2.059521937;7;d
207;514;19.16;2.874858562;7;d
208;467;15;2.373364506;7;e
209;510;12.6;2.05916956;7;e
210;455;11.58;2.027258632;7;e
