SampleID;x1;x2;y;RandomEffect
1;0;-5;0.235;FIN
2;0.03;-4.717068226;0.29;FIN
3;0.13;-4.343843106;0.29;FIN
4;0.03;-5;0.115;FIN
5;0;-5;0.355;FIN
6;1;-5;0.26;FIN
7;0.265;-5;0.285;FIN
8;0.515;-5;0.21;FIN
9;0;-5;0.355;FIN
10;0;-5;0.285;FIN
11;0.05;-5;0.205;FIN
12;0;-5;0.33;FIN
13;0.015;-4.884016106;0.14;FIN
14;22.625;-0.42;0.249316972;FR
15;20.15;-2.83;0.197107875;FR
16;12.5;-2.561599267;0.558312863;FR
17;0;-5;0.586417595;FR
18;10.5;-4.689825689;0.495087149;FR
19;22.5;-5;0.421570469;FR
20;22.625;-5;0.569094636;FR
21;15;-5;0.601371137;FR
22;10.215;-2.2;0.253930721;FR
23;10.08;-2.7;0.434068441;FR
24;15.115;-2.49;0.319212367;FR
25;7.73;-2;0.248720567;FR
26;7.64;-2.46;0.271783115;FR
27;27.635;-2.136995589;0.032036443;FR
28;22.65;-0.79;0.245080123;FR
29;25.205;-2.64;0.098771805;FR
30;1.179561;-5;0.609800368;GR
31;2.32;-4.41;0.597123655;GR
32;11.97;-1.1;0.222536784;GR
33;62.34;-0.707570176;0.126318462;GR
34;21.29;-2.811239773;0.43739734;GR
35;15.86;-2.015359755;0.261106318;GR
36;17.38;-2.015359755;0.256435332;GR
37;6.16;-1.833516167;0.181980034;GR
38;7.74;-1.7;0.276690804;GR
39;9.32;-2.091080469;0.452443669;GR
40;23.81;-0.92;0.225624897;GR
41;12.29;-2.66;0.397975939;GR
42;11.07;-4.320146286;0.311448276;GR
43;4.5;-3.11;0.399132625;GR
44;14.67;-2.936178509;0.137610672;GR
45;8.42;-5;0.554099094;GR
46;14.8;-1.1;0.222537126;GR
47;8.09;-2.79;0.286226699;GR
48;25.76;-0.92;0.084807833;GR
49;16.37;-2.99;0.453903881;GR
