SampleID;x1;x2;y;RandomEffect
1;0.086;373;97.27272727;5
2;0.071;169.1;100;4
3;0.046;205.9;97.5;5
4;1.114;3513.1;62.22222222;4
5;0.116;287.9;106.25;4
6;0.05;474;115.2380952;3
7;0.165;102.7;115.2380952;3
8;0.829;2269.3;71.66666667;3
9;1.118;2737.5;55.71428571;3
10;0.745;14510.9;55;2
11;0.648;4410;67;4
12;0.662;1793.1;57.77777778;3
13;0.829;3858.7;52.94117647;3
14;0.135;113.7;122.5;5
15;0.155;1920.7;71.42857143;5
16;0.166;2550.2;81.33333333;4
17;0.34;2028.4;71.42857143;4
18;0.181;14205.4;57.77777778;3
19;0.253;3267.6;60;3
20;0.268;7836.4;54.28571429;3
21;0.623;4804.7;52.5;3
22;0.176;175.6;89.41176471;5
23;1.62;11591.9;61.53846154;3
24;0.42;1190.7;67.05882353;4
25;0.555;4387.9;60;4
26;0.301;1750.8;76.8;4
27;0.768;1906.3;63.75;3
28;0.076;166.2;90.37037037;4
29;0.202;186.6;70;3
30;0.513;6917.9;54.54545455;3
31;0.36;11816.3;70.58823529;4
32;0.584;2476.7;61.33333333;4
33;0.13;45.5;90;5
34;1.012;3951;70;3
35;0.815;3702.9;51.25;3
36;0.623;11179.7;62.85714286;3
37;0.214;6917.9;86.95652174;3
38;0.249;11816.3;60;3
39;0.146;2476.7;87.27272727;4
40;0.193;45.5;73.33333333;4
41;1.336;3951;61.9047619;3
42;0.851;3702.9;55.29411765;3
43;0.46;11179.7;58.66666667;3
