SampleID;x1;x2;y;RandomEffect
1;0.116003557;26.59526722;0.001017699;2014
2;0.116003557;26.59526722;0.007016129;2014
3;0.116003557;26.59526722;0.00015873;2014
4;0.116003557;26.59526722;0.011756757;2014
5;0.116003557;26.59526722;0.005689655;2014
6;0.097020889;26.59526722;0.006077586;2016
7;0.097020889;26.59526722;0.021369863;2016
8;0.097020889;26.59526722;0.019479638;2016
9;0.097020889;26.59526722;0.020538462;2016
10;0.097020889;26.59526722;0.024443099;2016
11;0.066913926;31.51;0.005555556;2017
12;0.066913926;25.22;0.025578947;2017
13;0.066913926;28.84;0.016184211;2017
14;0.066913926;27.81;0.011428571;2017
15;0.066913926;29;0.014794521;2017
16;0.023580556;31.51;0.005555556;2019
17;0.023580556;25.22;0.025578947;2019
18;0.023580556;28.84;0.016184211;2019
19;0.023580556;27.81;0.011428571;2019
20;0.023580556;29;0.014794521;2019
21;0.253486313;26.59526722;0.015984848;2018
22;0.253486313;26.59526722;0.026;2018
23;0.253486313;26.59526722;0.027352941;2018
24;0.253486313;26.59526722;0.032722772;2018
25;0.253486313;26.59526722;0.014659091;2018
26;0.253486313;26.59526722;0.0135;2018
27;0.253486313;26.59526722;0.01377551;2018
28;0.253486313;26.59526722;0.013838384;2018
29;0.253486313;26.59526722;0.053211679;2018
30;0.253486313;26.59526722;0.021666667;2018
31;0.253486313;26.59526722;0.049891438;2018
32;0.253486313;26.59526722;0.024827586;2018
33;0.253486313;26.59526722;0.024130435;2018
34;0.253486313;26.59526722;0.015;2018
35;1.529926768;26.59526722;0.045502793;2019
36;1.529926768;26.59526722;0.037808824;2019
37;1.529926768;26.59526722;0.04624;2019
38;1.529926768;26.59526722;0.04078341;2019
39;1.529926768;26.59526722;0.039266212;2019
40;1.529926768;26.59526722;0.041351351;2019
41;1.529926768;26.59526722;0.046666667;2019
42;1.529926768;26.59526722;0.0521875;2019
43;1.529926768;26.59526722;0.0128125;2019
44;1.529926768;26.59526722;0.042227772;2019
45;0.522416667;26.59526722;0.053916084;2015
46;0.522416667;26.59526722;0.051036585;2015
47;0.522416667;26.59526722;0.039473684;2015
48;0.522416667;26.59526722;0.026875;2015
49;0.522416667;26.59526722;0.039772727;2015
50;0.522416667;26.59526722;0.0405;2015
51;0.522416667;26.59526722;0.037647059;2015
52;0.419584683;26.59526722;0.054492266;2017
53;0.419584683;26.59526722;0.043761468;2017
54;0.419584683;26.59526722;0.0275;2017
55;0.419584683;26.59526722;0.030319149;2017
56;0.419584683;26.59526722;0.037432432;2017
57;0.419584683;26.59526722;0.009222973;2017
58;0.419584683;26.59526722;0.036144578;2017
59;0.491260609;26.59526722;0.047857143;2018
60;0.491260609;26.59526722;0.054107143;2018
61;0.491260609;26.59526722;0.021666667;2018
62;0.491260609;26.59526722;0.0384375;2018
63;0.491260609;26.59526722;0.020689655;2018
64;0.491260609;26.59526722;0.010023364;2018
65;0.491260609;26.59526722;0.030625;2018
66;0.703117446;26.59526722;0.054492266;2019
67;0.703117446;26.59526722;0.043761468;2019
68;0.703117446;26.59526722;0.0275;2019
69;0.703117446;26.59526722;0.030319149;2019
70;0.703117446;26.59526722;0.037432432;2019
71;0.703117446;26.59526722;0.009222973;2019
72;0.703117446;26.59526722;0.036144578;2019
73;0.703117446;21.25;0.030405405;2019
74;0.703117446;26.8;0.006743119;2019
75;0.703117446;26.8;0.006184211;2019
76;0.703117446;26.55;0.032681347;2019
77;0.703117446;18.5;0.045625;2019
78;0.703117446;18.25;0.029013158;2019
79;0.703117446;26.7;0.031212121;2019
80;0.703117446;26.59526722;0.047857143;2019
81;0.703117446;26.59526722;0.054107143;2019
82;0.703117446;26.59526722;0.021666667;2019
83;0.703117446;26.59526722;0.0384375;2019
84;0.703117446;26.59526722;0.020689655;2019
85;0.703117446;26.59526722;0.010023364;2019
86;0.703117446;26.59526722;0.030625;2019
