SampleID;x1;x2;y
1;66.46;10.1;365.52
2;63;11.02;361.34
3;58.15;10.59;361.12
4;47.08;11.49;340.76
5;42.92;11.17;347.6
6;38.77;11.7;349.02
7;33.23;11.2;368.94
8;31.85;11.83;356.22
9;29.77;11.38;358.02
10;29.08;12.06;337.51
11;23.54;11.89;339.51
12;22;11.16;338.55
13;18;11.65;332.7
14;17;11.33;342.49
15;15;11.22;341.69
16;14;12.16;335.3
17;13;11.56;327.7
18;12;12.13;332
19;12;12.6;327.61
20;10;12.01;331.03
21;9;12.04;325.36
22;8;11.66;327.52
23;8;12.15;321.21
24;7.6;11.89;319.75
25;6.4;12.46;313.26
26;6;11.72;320.59
27;6;12.67;314.82
28;5.9;12.08;313.37
29;6.5;11.11;304.21
30;7;12.98;292.14
31;7.6;12.8;300.59
32;7.6;13.26;296.55
33;7.5;12.92;297.3
34;7.6;13.54;300.33
35;7.3;12.44;297.88
