SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;10.3;34.1;1.57;2002;NIWOL
2;10.9;31.7;1.72;2002;NIWOL
3;10.8;30.9;2;2002;NIWOL
4;8.2;33.4;1.27;2002;NIWOL
5;7.1;32.7;1.61;2002;NIWOL
6;13.1;34.4;1.5;2002;NIWOL
7;13.8;34.5;2.19;2002;NIWOL
8;13.5;34.5;8.33;2002;NIWOL
9;13.3;34.6;1.45;2002;NIWOL
10;12.5;34.6;1.97;2002;NIWOL
11;15.9;34.5;2.09;2002;NIWOL
12;10.8;34.5;0.65;2002;NIWOL
13;11.3;35.1;0.68;2002;NIWOL
14;11.7;34.6;0.89;2002;NIWOL
15;11.7;35;0.79;2002;NIWOL
16;10.6;34.9;1.8;2002;NIWOL
17;11.1;32.7;0.95;2002;NIWOL
18;12.3;33.3;0.78;2002;NIWOL
19;16.3;33.9;1.34;2002;NIWOL
20;15.7;33.7;1.26;2002;NIWOL
21;15.1;34.1;1;2002;NIWOL
22;20.5;31.3;3.41;2002;NIWOL
23;20.3;32.5;2.24;2002;NIWOL
24;19.5;34;2.86;2002;NIWOL
25;15.4;34.9;4.83;2002;NIWOL
26;22.9;33.2;7.1;2002;NIWOL
27;20.4;34.1;4.26;2002;NIWOL
28;16.5;34.9;4.1;2002;NIWOL
29;16.9;34.8;2.92;2002;NIWOL
30;22.3;34.7;2.45;2002;NIWOL
31;25.2;35.4;2.94;2002;NIWOL
32;28.7;35.2;6.05;2002;NIWOL
33;29.6;35.3;6.32;2002;NIWOL
34;28.2;35.5;3.74;2002;NIWOL
35;23.1;35.2;3.21;2002;NIWOL
36;23.1;35.2;3.21;2002;NIWOL
37;23.1;35.2;3.21;2002;NIWOL
38;23.1;35.2;3.21;2002;NIWOL
39;23.1;35.2;3.21;2002;NIWOL
40;23.1;35.2;3.21;2002;NIWOL
41;23.1;35.2;3.21;2002;NIWOL
42;23.1;35.2;3.21;2002;NIWOL
43;23.1;35.2;3.21;2002;NIWOL
44;23.1;35.2;2.81;2002;NIWOL
45;23.1;35.2;2.81;2002;NIWOL
46;23.1;35.2;2.81;2002;NIWOL
47;23.1;35.2;2.81;2002;NIWOL
48;23.1;35.2;2.81;2002;NIWOL
49;23.1;35.2;2.81;2002;NIWOL
50;23.1;35.2;2.81;2002;NIWOL
51;23.1;35.2;2.81;2002;NIWOL
52;23.1;35.2;2.81;2002;NIWOL
53;23.1;35.2;3.23;2002;NIWOL
54;23.1;35.2;3.23;2002;NIWOL
55;23.1;35.2;3.23;2002;NIWOL
56;23.1;35.2;3.23;2002;NIWOL
57;23.1;35.2;3.23;2002;NIWOL
58;23.1;35.2;3.23;2002;NIWOL
59;23.1;35.2;3.23;2002;NIWOL
60;23.1;35.2;3.23;2002;NIWOL
61;23.1;35.2;3.23;2002;NIWOL
62;22.1;34.2;3.62;2002;NIWOL
63;22.7;34.3;3.57;2002;NIWOL
64;24.6;33.3;4.53;2002;NIWOL
65;24.7;32.7;3.69;2002;NIWOL
66;23;33.5;5.52;2002;NIWOL
67;24.4;32.7;5.66;2002;NIWOL
68;24.4;32.7;5.66;2002;NIWOL
69;24.4;32.7;5.66;2002;NIWOL
70;24.4;32.7;5.66;2002;NIWOL
71;24.4;32.7;5.66;2002;NIWOL
72;24.4;32.7;5.66;2002;NIWOL
73;24.4;32.7;5.66;2002;NIWOL
74;24.4;32.7;5.66;2002;NIWOL
75;24.4;32.7;5.66;2002;NIWOL
76;24.4;32.7;5.87;2002;NIWOL
77;24.4;32.7;5.87;2002;NIWOL
78;24.4;32.7;5.87;2002;NIWOL
79;24.4;32.7;5.87;2002;NIWOL
80;24.4;32.7;5.87;2002;NIWOL
81;24.4;32.7;5.87;2002;NIWOL
82;24.4;32.7;5.87;2002;NIWOL
83;24.4;32.7;5.87;2002;NIWOL
84;24.4;32.7;5.87;2002;NIWOL
85;24.4;32.7;6.41;2002;NIWOL
86;24.4;32.7;6.41;2002;NIWOL
87;24.4;32.7;6.41;2002;NIWOL
88;24.4;32.7;6.41;2002;NIWOL
89;24.4;32.7;6.41;2002;NIWOL
90;24.4;32.7;6.41;2002;NIWOL
91;24.4;32.7;6.41;2002;NIWOL
92;24.4;32.7;6.41;2002;NIWOL
93;24.4;32.7;6.41;2002;NIWOL
94;24.1;36.3;4.5;2002;NIWOL
95;26.6;36;7.28;2002;NIWOL
96;29.6;36;11.13;2002;NIWOL
97;29.1;36.2;8.88;2002;NIWOL
98;25.9;35.4;6.69;2002;NIWOL
99;24;36.3;5.7;2002;NIWOL
100;24;36.3;5.7;2002;NIWOL
101;24;36.3;5.7;2002;NIWOL
102;24;36.3;5.7;2002;NIWOL
103;24;36.3;5.7;2002;NIWOL
104;24;36.3;5.7;2002;NIWOL
105;24;36.3;5.7;2002;NIWOL
106;24;36.3;5.7;2002;NIWOL
107;24;36.3;5.7;2002;NIWOL
108;24;36.3;6.32;2002;NIWOL
109;24;36.3;6.32;2002;NIWOL
110;24;36.3;6.32;2002;NIWOL
111;24;36.3;6.32;2002;NIWOL
112;24;36.3;6.32;2002;NIWOL
113;24;36.3;6.32;2002;NIWOL
114;24;36.3;6.32;2002;NIWOL
115;24;36.3;6.32;2002;NIWOL
116;24;36.3;6.32;2002;NIWOL
117;24;36.3;5.85;2002;NIWOL
118;24;36.3;5.85;2002;NIWOL
119;24;36.3;5.85;2002;NIWOL
120;24;36.3;5.85;2002;NIWOL
121;24;36.3;5.85;2002;NIWOL
122;24;36.3;5.85;2002;NIWOL
123;24;36.3;5.85;2002;NIWOL
124;24;36.3;5.85;2002;NIWOL
125;24;36.3;5.85;2002;NIWOL
126;27.3;34.7;4.89;2002;NIWOL
127;27.9;35;4.58;2002;NIWOL
128;30.6;35.6;8.06;2002;NIWOL
129;31.7;36.2;8.31;2002;NIWOL
130;27.4;35.3;4.64;2002;NIWOL
131;25.6;35.7;5.57;2002;NIWOL
132;25.6;35.7;5.57;2002;NIWOL
133;25.6;35.7;5.57;2002;NIWOL
134;25.6;35.7;5.57;2002;NIWOL
135;25.6;35.7;5.57;2002;NIWOL
136;25.6;35.7;5.57;2002;NIWOL
137;25.6;35.7;5.57;2002;NIWOL
138;25.6;35.7;5.57;2002;NIWOL
139;25.6;35.7;5.57;2002;NIWOL
140;25.6;35.7;5.7;2002;NIWOL
141;25.6;35.7;5.7;2002;NIWOL
142;25.6;35.7;5.7;2002;NIWOL
143;25.6;35.7;5.7;2002;NIWOL
144;25.6;35.7;5.7;2002;NIWOL
145;25.6;35.7;5.7;2002;NIWOL
146;25.6;35.7;5.7;2002;NIWOL
147;25.6;35.7;5.7;2002;NIWOL
148;25.6;35.7;5.7;2002;NIWOL
149;25.6;35.7;5.72;2002;NIWOL
150;25.6;35.7;5.72;2002;NIWOL
151;25.6;35.7;5.72;2002;NIWOL
152;25.6;35.7;5.72;2002;NIWOL
153;25.6;35.7;5.72;2002;NIWOL
154;25.6;35.7;5.72;2002;NIWOL
155;25.6;35.7;5.72;2002;NIWOL
156;25.6;35.7;5.72;2002;NIWOL
157;25.6;35.7;5.72;2002;NIWOL
158;29.8;35.7;9.17;2002;NIWOL
159;29.8;35.4;10.23;2002;NIWOL
160;30.4;35.4;6.54;2002;NIWOL
161;31.5;35.9;4.01;2002;NIWOL
162;29.4;35.6;5.37;2002;NIWOL
163;28.9;35.9;7.59;2002;NIWOL
164;30.3;34.8;8.52;2002;NIWOL
165;30.3;34.8;8.52;2002;NIWOL
166;30.3;34.8;8.52;2002;NIWOL
167;30.3;34.8;8.52;2002;NIWOL
168;30.3;34.8;8.52;2002;NIWOL
169;30.3;34.8;8.52;2002;NIWOL
170;30.3;34.8;8.52;2002;NIWOL
171;30.3;34.8;8.52;2002;NIWOL
172;30.3;34.8;8.52;2002;NIWOL
173;30.3;34.8;8.88;2002;NIWOL
174;30.3;34.8;8.88;2002;NIWOL
175;30.3;34.8;8.88;2002;NIWOL
176;30.3;34.8;8.88;2002;NIWOL
177;30.3;34.8;8.88;2002;NIWOL
178;30.3;34.8;8.88;2002;NIWOL
179;30.3;34.8;8.88;2002;NIWOL
180;30.3;34.8;8.88;2002;NIWOL
181;30.3;34.8;8.88;2002;NIWOL
182;30.3;34.8;8.63;2002;NIWOL
183;30.3;34.8;8.63;2002;NIWOL
184;30.3;34.8;8.63;2002;NIWOL
185;30.3;34.8;8.63;2002;NIWOL
186;30.3;34.8;8.63;2002;NIWOL
187;30.3;34.8;8.63;2002;NIWOL
188;30.3;34.8;8.63;2002;NIWOL
189;30.3;34.8;8.63;2002;NIWOL
190;30.3;34.8;8.63;2002;NIWOL
191;28.2;36.2;6.81;2002;NIWOL
192;28.6;36;8.78;2002;NIWOL
193;28.6;32.9;22.8;2002;NIWOL
194;28.2;32.8;7.88;2002;NIWOL
195;27.1;34.9;9.93;2002;NIWOL
196;26.5;33.7;16.95;2002;NIWOL
197;26.5;33.7;16.95;2002;NIWOL
198;26.5;33.7;16.95;2002;NIWOL
199;26.5;33.7;16.95;2002;NIWOL
200;26.5;33.7;16.95;2002;NIWOL
201;26.5;33.7;16.95;2002;NIWOL
202;26.5;33.7;16.95;2002;NIWOL
203;26.5;33.7;16.95;2002;NIWOL
204;26.5;33.7;16.95;2002;NIWOL
205;26.5;33.7;18.51;2002;NIWOL
206;26.5;33.7;18.51;2002;NIWOL
207;26.5;33.7;18.51;2002;NIWOL
208;26.5;33.7;18.51;2002;NIWOL
209;26.5;33.7;18.51;2002;NIWOL
210;26.5;33.7;18.51;2002;NIWOL
211;26.5;33.7;18.51;2002;NIWOL
212;26.5;33.7;18.51;2002;NIWOL
213;26.5;33.7;18.51;2002;NIWOL
214;26.5;33.7;19.25;2002;NIWOL
215;26.5;33.7;19.25;2002;NIWOL
216;26.5;33.7;19.25;2002;NIWOL
217;26.5;33.7;19.25;2002;NIWOL
218;26.5;33.7;19.25;2002;NIWOL
219;26.5;33.7;19.25;2002;NIWOL
220;26.5;33.7;19.25;2002;NIWOL
221;26.5;33.7;19.25;2002;NIWOL
222;26.5;33.7;19.25;2002;NIWOL
223;26.3;12.7;8.4;2002;NIWOL
224;26.9;15.5;6.98;2002;NIWOL
225;26.6;29.5;7.29;2002;NIWOL
226;27.7;33.5;8.22;2002;NIWOL
227;27.6;27.6;3.32;2002;NIWOL
228;27.3;31.8;5.06;2002;NIWOL
229;27.1;30.8;3.68;2002;NIWOL
230;28;35.1;5.68;2002;NIWOL
231;28.7;35.2;9.53;2002;NIWOL
232;29.8;34.4;13.19;2002;NIWOL
233;29.7;35.2;9.19;2002;NIWOL
234;26.8;35.2;5.75;2002;NIWOL
235;26.8;35.2;5.75;2002;NIWOL
236;26.8;35.2;5.75;2002;NIWOL
237;26.8;35.2;5.75;2002;NIWOL
238;26.8;35.2;5.75;2002;NIWOL
239;26.8;35.2;5.75;2002;NIWOL
240;26.8;35.2;5.75;2002;NIWOL
241;26.8;35.2;5.75;2002;NIWOL
242;26.8;35.2;5.75;2002;NIWOL
243;26.8;35.2;5.78;2002;NIWOL
244;26.8;35.2;5.78;2002;NIWOL
245;26.8;35.2;5.78;2002;NIWOL
246;26.8;35.2;5.78;2002;NIWOL
247;26.8;35.2;5.78;2002;NIWOL
248;26.8;35.2;5.78;2002;NIWOL
249;26.8;35.2;5.78;2002;NIWOL
250;26.8;35.2;5.78;2002;NIWOL
251;26.8;35.2;5.78;2002;NIWOL
252;26.8;35.2;5.81;2002;NIWOL
253;26.8;35.2;5.81;2002;NIWOL
254;26.8;35.2;5.81;2002;NIWOL
255;26.8;35.2;5.81;2002;NIWOL
256;26.8;35.2;5.81;2002;NIWOL
257;26.8;35.2;5.81;2002;NIWOL
258;26.8;35.2;5.81;2002;NIWOL
259;26.8;35.2;5.81;2002;NIWOL
260;26.8;35.2;5.81;2002;NIWOL
261;17.4;31.3;5.12;2002;NIWOL
262;18.7;35.2;2.58;2002;NIWOL
263;17.1;34.7;2.57;2002;NIWOL
