SampleID;x1;x2;y;RandomEffect
1;0.026333333;1.676666667;4.480952381;1986
2;0.021666667;1.938333333;6.441666667;1987
3;0.02275;2.605;4.568055556;1988
4;0.019138889;3.356666667;7.522222222;1989
5;0.021833333;2.445;5.588888889;1990
6;0.034722222;2.016666667;1.95;1991
7;0.031638889;1.596666667;1.077777778;1992
8;0.041638889;3.278333333;0.588888889;1993
9;0.032388889;1.253333333;2.388888889;1994
10;0.037277778;0.986666667;2.452777778;1995
11;0.034916667;1.123333333;3.916666667;1996
12;0.035277778;0.775;2.202777778;1997
13;0.034916667;2.298333333;3.383333333;1998
14;0.029;1.811666667;5.805555556;1999
15;0.032194444;1.331666667;3.380555556;2000
16;0.019515152;1.683333333;4.290909091;2001
17;0.013527778;2.295;3.65;2002
18;0.016777778;2.293333333;3.941666667;2003
19;0.01875;1.171666667;2.566666667;2004
20;0.014638889;1.118333333;2.144444444;2005
21;0.014027778;1.465;4.85;2006
22;0.01625;1.74;4.333333333;2007
23;0.015055556;1.888333333;4.483333333;2008
24;0.012472222;1.666666667;4.391666667;2009
25;0.013472222;1.298333333;3.913888889;2010
26;0.015611111;2.591666667;4.258333333;2011
27;0.017277778;0.878333333;2.222222222;2012
28;0.012138889;2.611666667;4.994444444;2013
29;0.011638889;2.525;5.075;2014
30;0.013972222;1.35;2.813888889;2015
31;0.009555556;2.068333333;4.577777778;2016
32;0.015138889;1.78;3.575;2017
33;0.011166667;1.911666667;5.033333333;2018
34;0.023888889;1.395;3.147222222;1986
35;0.022277778;2.313333333;5.008333333;1987
36;0.022472222;1.448333333;3.125;1988
37;0.020515152;2.163333333;5.487878788;1989
38;0.019388889;2.1;6.386111111;1990
39;0.031666667;1.933333333;1.019444444;1991
40;0.031;1.54;0.691666667;1992
41;0.03775;3;0.569444444;1993
42;0.033916667;1.318333333;2.213888889;1994
43;0.036472222;1.065;2.213888889;1995
44;0.03025;0.801666667;3.922222222;1996
45;0.03175;0.796666667;2.419444444;1997
46;0.036694444;1.666666667;2.541666667;1998
47;0.027805556;1.546666667;4.441666667;1999
48;0.029138889;1.736666667;2.622222222;2000
49;0.018694444;1.268333333;3.041666667;2001
50;0.01175;1.596666667;2.319444444;2002
51;0.014694444;2.253333333;3.416666667;2003
52;0.016916667;1.655;2.736111111;2004
53;0.015583333;0.856666667;1.758333333;2005
54;0.01375;1.418333333;3.586111111;2006
55;0.017388889;1.455;3.513888889;2007
56;0.015111111;1.468333333;3.197222222;2008
57;0.011555556;1.558333333;4.036111111;2009
58;0.012333333;1.283333333;3.3;2010
59;0.012583333;1.61;3.238888889;2011
60;0.016527778;0.815;1.780555556;2012
61;0.012611111;2.658333333;3.975;2013
62;0.011611111;1.823333333;4.394444444;2014
63;0.012361111;1.333333333;3.094444444;2015
64;0.011777778;1.381666667;2.822222222;2016
65;0.015305556;1.565;2.705555556;2017
66;0.011222222;1.181666667;3.711111111;2018
