SampleID;x1;x2;y;RandomEffect; 
1;0.015;5.9;4.01;OWCBRWQ;
2;0.0149;5.9;3.67;OWCBRWQ;
3;0.015;5.9;4.01;OWCBRWQ;
4;0.0149;5.9;3.67;OWCBRWQ;
5;0.0131;6.9;4.67;OWCBRWQ;
6;0.0131;6.9;4.01;OWCBRWQ;
7;0.0059;13.3;5.34;OWCBRWQ;
8;0.0057;13.3;7.01;OWCBRWQ;
9;0.0059;13.3;5.34;OWCBRWQ;
10;0.0057;13.3;7.01;OWCBRWQ;
11;0.0106;10;2.67;OWCBRWQ;
12;0.0107;10;2.67;OWCBRWQ;
13;0.0106;10;2.67;OWCBRWQ;
14;0.0107;10;2.67;OWCBRWQ;
15;0.0184;15.6;1.67;OWCBRWQ;
16;0.0194;15.6;5.34;OWCBRWQ;
17;0.0184;15.8;1.67;OWCBRWQ;
18;0.0341;15.8;0.67;OWCBRWQ;
19;0.0038;21;7.68;OWCBRWQ;
20;0.0047;21;11.01;OWCBRWQ;
21;0.0171;24;4.01;OWCBRWQ;
22;0.0189;24;3.34;OWCBRWQ;
23;0.0178;21.7;1.67;OWCBRWQ;
24;0.0145;21.7;1;OWCBRWQ;
25;0.0178;21.7;1.67;OWCBRWQ;
26;0.0145;21.7;1;OWCBRWQ;
27;0.0105;20.6;2.67;OWCBRWQ;
28;0.0154;20.6;2;OWCBRWQ;
29;0.0105;20.6;2.67;OWCBRWQ;
30;0.0154;20.6;2;OWCBRWQ;
31;0.0475;21;1.67;OWCBRWQ;
32;0.0514;21;2;OWCBRWQ;
33;0.0252;20.9;1.67;OWCBRWQ;
34;0.0261;20.9;2;OWCBRWQ;
35;0.0074;19.4;1.67;OWCBRWQ;
36;0.0087;19.4;3;OWCBRWQ;
37;0.0074;19.4;1.67;OWCBRWQ;
38;0.0087;19.4;3;OWCBRWQ;
39;0.5463;16;1.67;OWCBRWQ;
40;0.5504;16;1.34;OWCBRWQ;
41;0.1476;16.7;1.34;OWCBRWQ;
42;0.1468;16.7;1;OWCBRWQ;
43;0.0256;9.6;0.67;OWCBRWQ;
44;0.026;9.6;0.67;OWCBRWQ;
45;0.0256;9.6;0.67;OWCBRWQ;
46;0.026;9.6;0.67;OWCBRWQ;
47;0.0281;8.5;2;OWCBRWQ;
48;0.0296;8.5;2.34;OWCBRWQ;
49;0.0162;4.3;2;OWCBRWQ;
50;0.0157;4.3;2.67;OWCBRWQ;
51;0.0165;6.3;1.67;OWCBRWQ;
52;0.0164;6.3;3;OWCBRWQ;
53;0.0064;14.9;6.01;OWCBRWQ;
54;0.0069;14.9;2.34;OWCBRWQ;
55;0.0185;11.2;8.34;OWCBRWQ;
56;0.0227;11.2;2.34;OWCBRWQ;
57;0.0386;16.7;1;OWCBRWQ;
58;0.0388;16.7;1.78;OWCBRWQ;
59;0.0262;20.4;1.34;OWCBRWQ;
