SampleID;x1;x2;y;RandomEffect
1;0.005;373;22;5
2;0.003;169.1;17;4
3;0.015;205.9;16;5
4;0.004;3513.1;9;4
5;0.003;287.9;16;4
6;0.007;474;21;3
7;0.077;102.7;21;3
8;0.237;2269.3;12;3
9;0.04;2737.5;14;3
10;0.145;14510.9;8;2
11;0.003;4410;20;4
12;0.004;1793.1;18;3
13;0.002;3858.7;17;3
14;0.008;113.7;16;5
15;0.002;1920.7;14;5
16;0.003;2550.2;15;4
17;0.004;2028.4;14;4
18;0.011;14205.4;9;3
19;0.003;3267.6;10;3
20;0.004;7836.4;7;3
21;0.002;4804.7;8;3
22;0.006;175.6;17;5
23;0.03;11591.9;13;3
24;0.002;1190.7;17;4
25;0.01;4387.9;11;4
26;0.002;1750.8;25;4
27;0.003;1906.3;16;3
28;0.004;166.2;27;4
29;0.053;186.6;20;3
30;0.003;6917.9;11;3
31;0.004;11816.3;17;4
32;0.001;2476.7;15;4
33;0.003;45.5;22;5
34;0.001;3951;16;3
35;0.003;3702.9;16;3
36;0.035;11179.7;7;3
37;0.001;6917.9;23;3
38;0.001;11816.3;11;3
39;0.001;2476.7;11;4
40;0.032;45.5;15;4
41;0.002;3951;21;3
42;0.001;3702.9;17;3
43;0.002;11179.7;15;3
