SampleID;x1;x2;y;RandomEffect
1;11;0.219;15.04;ELATAGH
2;5;0.172;3.64;STRANAGOPPOGE
3;66.5;0.375;3.61;BLACKWATER (MONAGHAN)
4;5;0.266;0.72;BIG (LOUTH)
5;28.5;0.641;7.35;DEE
6;34;0.406;13.35;FANE
7;81.5;0.469;26.36;WHITE (LOUTH)
8;8;0.312;3.13;ATHBOY
9;39.5;0.328;8.73;BLACKWATER (KELLS)
10;23.5;0.469;12.18;BOYNE
11;10;0.625;3.37;BOYNE
12;36;0.453;5.37;NANNY (MEATH)
13;29.5;0.703;14.87;DODDER
14;5;0.281;0.48;LIFFEY
15;39;0.531;11.16;LIFFEY
16;70;0.187;9.03;RYE WATER
17;5;0.641;5.54;DARGLE
18;5;0.141;0.73;GLENEALO
19;5;0.484;9.09;VARTRY
20;39.5;0.219;49.28;BANOGE
21;64;0.344;7.18;OWENAVORRAGH
22;5;0.234;4.78;CLODY
23;22.5;0.141;40.1;DERRY
24;39.5;0.219;11.3;DOUGLAS (BALLON)
25;8;0.172;3.14;SLANEY
26;20;0.156;7.35;SLANEY
27;68.5;0.391;33.25;DUNCORMICK
28;33;0.125;69.9;OWENDUFF (WEXFORD)
29;41.5;0.391;10.29;BARROW
30;45.5;0.578;18.84;BARROW
31;23.5;0.531;21.07;BURREN
32;42;0.297;11.33;GOWRAN
33;27;0.625;13.8;TULLY STREAM
34;60;0.203;14.04;BALLYROAN
35;17;0.219;1.44;DININ (MAIN CHANNEL)
36;61.5;0.234;5.95;GLORY
37;58;0.422;4.88;KING'S (KILKENNY)
38;20;0.406;11.22;NORE
39;32;0.234;4.23;NORE
40;12.5;0.203;3.75;NUENNA
41;37;0.172;23;AHERLOW
42;70.5;0.172;14.73;ANNER
43;64.5;0.156;11.54;ARA
44;31;0.5;15.85;DUAG
45;23.5;0.219;4.36;MULTEEN
46;10;0.125;0.69;NIER
47;24.5;0.437;37.68;SUIR
48;28;0.328;7.47;SUIR
49;7.5;0.109;0.23;COLLIGAN
50;17.5;0.281;24.65;MAHON
51;5;0.187;2.29;LEE (CORK)
52;16;0.219;14.41;LEE (CORK)
53;46;0.187;16.03;MARTIN
54;5;0.078;1.44;ADRIGOLE
55;5;0.016;4.95;BLACKWATER (KERRY)
56;5;0.219;4.22;CARAGH
57;20.5;0.344;21.29;MAINE
58;5;0.297;0.47;OWENREAGH
59;19;0.219;13.37;SHANOWEN (MAINE)
60;63;0.461;2.83;DEEL (NEWCASTLEWEST)
61;83;0.406;11.21;MAIGUE
62;46.5;0.422;21.31;OWVANE (LIMERICK)
63;7.5;0.297;0;BILBOA
64;17;0.469;8.17;BROSNA
65;13.5;0.312;21.26;BROSNA
66;28.5;0.453;20.09;CLODIAGH (TULLAMORE)
67;79.5;0.234;13.87;DEAD
68;12;0.094;1.45;GRANEY (SHANNON)
69;7.5;0.187;1.45;GLENFELLY STREAM
70;13.5;0.453;8.39;KILCROW
71;12;0.375;20.1;LITTLE (CLOGHAN)
72;22.5;0.5;10.34;LITTLE BROSNA
73;12.5;0.141;2.18;NENAGH
74;5;0.047;19.86;NEWPORT (TIPPERARY)
75;12.5;0.375;8.7;SILVER (KILCORMAC)
76;44;0.547;5.02;TULLAMORE
77;33.5;0.469;8.19;CAMLIN
78;7.5;0.344;0.24;CROSS (ROSCOMMON)
79;15;0.25;12.32;FEORISH (BALLYFARNON)
80;5;0.359;4.04;INNY
81;14.5;0.219;6.43;INNY
82;38;0.531;21.41;MOUNTNUGENT
83;5;0.344;1.82;SCRAMOGE
84;5;0.344;3.46;SHANNON (Upper)
85;5;0.937;3.74;SHANNON (Upper)
86;13;0.375;10.82;SUCK
87;14;0.375;7.29;SUCK
88;11;0.406;11.17;BROADFORD
89;30.5;0.375;7.44;FERGUS
90;13;0.625;8.73;FERGUS
91;17;0.219;15.66;GOURNA
92;5;0.406;2.65;MOYREE
93;5;0.078;4.13;CAHER (CLARE)
94;21;0.359;1.89;CREEGH
95;17;0.312;11.99;GLENDINE (CLARE)
