SampleID;x1;x2;y;RandomEffect
1;0.151333333;1.671428571;5.566666667;1991
2;0.154666667;2.326666667;2.15;1992
3;0.199166667;1.466666667;1.741666667;1993
4;0.08;2.272222222;11.35555556;1994
5;0.2;1.883333333;5.994444444;1995
6;0.1425;1.438888889;4.366666667;1996
7;0.120833333;1.766666667;8.355555556;1997
8;0.0875;1.983333333;7.111111111;1998
9;0.055166667;1.676666667;8.35;1999
10;0.064833333;2.058333333;9.513888889;2000
11;0.0615;1.530555556;9.451388889;2001
12;0.046666667;1.613888889;6.566666667;2002
13;0.056666667;2.009722222;11.0125;2003
14;0.05625;2.172222222;10.65416667;2004
15;0.042666667;1.602777778;7.480555556;2005
16;0.041166667;1.5;7.722222222;2006
17;0.0415;1.191666667;9.958333333;2007
18;0.046;1.688888889;10.46944444;2008
19;0.036333333;1.275;6.294444444;2009
20;0.050833333;1.361111111;8.875;2010
21;0.03;1.219444444;4.880555556;2011
22;0.034833333;0.977777778;5.797222222;2012
23;0.0415;1.002777778;4.916666667;2013
24;0.034833333;1.130555556;5.469444444;2014
25;0.086166667;1.288888889;5.258333333;2015
26;0.108166667;1.525;7.522222222;2016
27;0.055333333;1.361111111;4.019444444;2017
28;0.0215;1.1;4.005555556;2018
29;0.178333333;0.548484848;1.218181818;1991
30;0.24;1.051515152;0.896969697;1992
31;0.199;0.458333333;0.7375;1993
32;0.064;0.511111111;1.544444444;1994
33;0.125;0.604761905;0.933333333;1995
34;0.11;0.644444444;2.388888889;1996
35;0.058;0.76;3.133333333;1997
36;0.038;0.426666667;2.846666667;1998
37;0.02;0.46;1.786666667;1999
38;0.037;0.396666667;2.163333333;2000
39;0.026666667;0.509090909;2.515151515;2001
40;0.039666667;0.538888889;1.941666667;2002
41;0.0215;0.547222222;1.541666667;2003
42;0.0365;0.533333333;1.608333333;2004
43;0.023333333;0.497222222;1.836111111;2005
44;0.032333333;0.502777778;2.163888889;2006
45;0.034833333;0.572222222;2.477777778;2007
46;0.036666667;0.460606061;1.942424242;2008
47;0.02;0.644444444;2.791666667;2009
48;0.0315;0.433333333;1.997222222;2010
49;0.039666667;0.563888889;1.725;2011
50;0.0315;0.327777778;1.286111111;2012
51;0.039666667;0.366666667;2.080555556;2013
52;0.026666667;0.538888889;2.086111111;2014
53;0.061166667;0.488888889;1.844444444;2015
54;0.0745;0.638888889;3.052777778;2016
55;0.078166667;0.65;1.344444444;2017
56;0.024833333;0.280555556;1.061111111;2018
57;0.070833333;1.2;2.316666667;1994
58;0.095333333;0.573333333;1.06;1995
59;0.099166667;0.394444444;1.722222222;1996
60;0.110833333;0.546666667;2.016666667;1997
61;0.03;0.5;2.486666667;1998
62;0.022666667;0.48;1.44;1999
63;0.031833333;0.436666667;2.106666667;2000
64;0.028333333;0.760606061;2.833333333;2001
65;0.033;0.519444444;1.913888889;2002
66;0.024833333;0.602777778;1.522222222;2003
67;0.023333333;0.680555556;1.558333333;2004
68;0.023333333;0.555555556;1.45;2005
69;0.023333333;0.502777778;2.288888889;2006
70;0.0315;0.566666667;2.266666667;2007
71;0.045;0.509090909;1.533333333;2008
72;0.024833333;0.575;2.455555556;2009
73;0.033;0.452777778;1.652777778;2010
74;0.033333333;0.652777778;2.041666667;2011
75;0.0345;0.372222222;1.394444444;2012
76;0.037833333;0.386111111;1.483333333;2013
77;0.027833333;0.455555556;1.925;2014
78;0.0715;0.55;2.013888889;2015
79;0.115333333;0.836111111;5.158333333;2016
80;0.07;0.644444444;1.027777778;2017
81;0.0215;0.294444444;0.902777778;2018
82;0.067333333;0.833333333;2.02;1994
83;0.092;0.626666667;1.02;1995
84;0.108333333;0.405555556;1.294444444;1996
85;0.106666667;0.446666667;1.677777778;1997
86;0.039333333;0.566666667;2.106666667;1998
87;0.02;0.56;1.786666667;1999
88;0.030333333;0.41;1.583333333;2000
89;0.028333333;0.678787879;1.727272727;2001
90;0.0315;0.55;1.272222222;2002
91;0.028166667;0.638888889;1.330555556;2003
92;0.023333333;0.588888889;1.197222222;2004
93;0.023333333;0.536111111;1.302777778;2005
94;0.0215;0.447222222;2.011111111;2006
95;0.033;0.511111111;2;2007
96;0.038333333;0.512121212;1.603030303;2008
97;0.024833333;0.558333333;1.552777778;2009
98;0.027833333;0.480555556;1.45;2010
99;0.028166667;0.641666667;1.519444444;2011
100;0.057333333;0.344444444;1.35;2012
101;0.036;0.358333333;0.986111111;2013
102;0.028166667;0.391666667;1.186111111;2014
103;0.0715;0.491666667;1.152777778;2015
104;0.048166667;0.891666667;3.727777778;2016
105;0.106333333;0.669444444;1.108333333;2017
106;0.023;0.311111111;0.916666667;2018
107;0.069333333;0.826666667;1.253333333;1994
108;0.097333333;0.68;1.086666667;1995
