SampleID;x1;x2;y;RandomEffect
1;0.048;0.053;71.76470588;1
2;0.043;0.025;70;1
3;0.04;0.049;66.25;1
4;0.03;0.029;76.19047619;1
5;0.075;0.047;72.17391304;1
6;0.075;0.052;76.36363636;1
7;0.238;0.132;74.54545455;1
8;0.221;0.129;70;1
9;0.111;0.024;79.09090909;1
10;0.191;0.023;69.6;1
11;0.056;0.018;90.55555556;1
12;0.056;0.022;81.6;1
13;0.035;0.016;81.66666667;1
14;0.031;0.015;80;1
15;0.014;0.012;83.33333333;1
16;0.012;0.013;82.06896552;1
17;0.01;0.011;101.5384615;1
18;0.009;0.009;100;1
19;0.003;0.005;95.33333333;1
20;0.004;0.006;99.28571429;1
21;0.002;0.006;91.11111111;1
22;0.002;0.014;79.04761905;1
23;0.003;0.009;93.91304348;1
24;0.004;0.012;81.73913043;1
25;0.023;0.033;76;2
26;0.025;0.019;74.44444444;2
27;0.016;0.055;77.5;2
28;0.022;0.062;68;2
29;0.031;0.025;80.76923077;2
30;0.033;0.021;77.14285714;2
31;0.143;0.07;74.54545455;2
32;0.146;0.067;65.38461538;2
33;0.114;0.01;86.31578947;2
34;0.116;0.011;78.0952381;2
35;0.019;0.001;88;2
36;0.021;0.006;98.62068966;2
37;0.02;0.003;79.23076923;2
38;0.019;0.004;82.75862069;2
39;0.01;0.006;76;2
40;0.01;0.005;90.625;2
41;0.006;0.002;100;2
42;0.006;0.002;87.22222222;2
43;0.003;0.002;88.46153846;2
44;0.003;0;90.4;2
45;0.002;0.025;75.55555556;2
46;0.002;0.002;92.85714286;2
47;0.003;0.009;85.45454545;2
48;0.004;0.01;89.62962963;2
