SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;0.026456349;26.59526722;7;North Atlantic Ocean;Ballysadare Estuary
2;0.026456349;26.59526722;6;North Atlantic Ocean;Ballysadare Estuary
3;0.026456349;26.59526722;7;North Atlantic Ocean;Ballysadare Estuary
4;0.026456349;26.59526722;4;North Atlantic Ocean;Ballysadare Estuary
5;0.026456349;26.59526722;10;North Atlantic Ocean;Ballysadare Estuary
6;0.026456349;26.59526722;6;North Atlantic Ocean;Ballysadare Estuary
7;0.026456349;26.59526722;6;North Atlantic Ocean;Ballysadare Estuary
8;0.026456349;26.59526722;27;North Atlantic Ocean;Ballysadare Estuary
9;0.026456349;26.59526722;12;North Atlantic Ocean;Ballysadare Estuary
10;0.026456349;26.59526722;6;North Atlantic Ocean;Ballysadare Estuary
11;0.050792593;26.59526722;15;Celtic Sea;Barrow Suir Nore Estuary
12;0.050792593;26.59526722;24;Celtic Sea;Barrow Suir Nore Estuary
13;0.050792593;26.59526722;21;Celtic Sea;Barrow Suir Nore Estuary
14;0.050792593;26.59526722;22;Celtic Sea;Barrow Suir Nore Estuary
15;0.050792593;26.59526722;24;Celtic Sea;Barrow Suir Nore Estuary
16;0.050792593;26.59526722;15;Celtic Sea;Barrow Suir Nore Estuary
17;0.050792593;26.59526722;11;Celtic Sea;Barrow Suir Nore Estuary
18;0.050792593;26.59526722;13;Celtic Sea;Barrow Suir Nore Estuary
19;0.050792593;26.59526722;15;Celtic Sea;Barrow Suir Nore Estuary
20;0.050792593;26.59526722;7;Celtic Sea;Barrow Suir Nore Estuary
21;0.013717195;28.61;54;North Atlantic Ocean;Camus Bay
22;0.013717195;28.82;32;North Atlantic Ocean;Camus Bay
23;0.013717195;28.59;67;North Atlantic Ocean;Camus Bay
24;0.013717195;28.41;19;North Atlantic Ocean;Camus Bay
25;0.013717195;30.88;82;North Atlantic Ocean;Camus Bay
26;0.021132353;26.59526722;5;North Atlantic Ocean;Castlemaine Harbour
27;0.021132353;26.59526722;6;North Atlantic Ocean;Castlemaine Harbour
28;0.021132353;26.59526722;5;North Atlantic Ocean;Castlemaine Harbour
29;0.021132353;26.59526722;5;North Atlantic Ocean;Castlemaine Harbour
30;0.021132353;26.59526722;2;North Atlantic Ocean;Castlemaine Harbour
31;0.021132353;26.59526722;5;North Atlantic Ocean;Castlemaine Harbour
32;0.021132353;26.59526722;10;North Atlantic Ocean;Castlemaine Harbour
33;0.021132353;26.59526722;8;North Atlantic Ocean;Castlemaine Harbour
34;0.021132353;26.59526722;6;North Atlantic Ocean;Castlemaine Harbour
35;0.021132353;26.59526722;1;North Atlantic Ocean;Castlemaine Harbour
36;0.021132353;26.59526722;4;North Atlantic Ocean;Castlemaine Harbour
37;0.021132353;26.59526722;14;North Atlantic Ocean;Castlemaine Harbour
38;0.021132353;26.59526722;9;North Atlantic Ocean;Castlemaine Harbour
39;0.021132353;26.59526722;5;North Atlantic Ocean;Castlemaine Harbour
40;0.021132353;26.59526722;2;North Atlantic Ocean;Castlemaine Harbour
41;0.033955556;26.59526722;56;Celtic Sea;Colligan Estuary
42;0.033955556;26.59526722;10;Celtic Sea;Colligan Estuary
43;0.033955556;26.59526722;15;Celtic Sea;Colligan Estuary
44;0.033955556;26.59526722;9;Celtic Sea;Colligan Estuary
45;0.033955556;26.59526722;4;Celtic Sea;Colligan Estuary
46;0.033955556;26.59526722;66;Celtic Sea;Colligan Estuary
47;0.033955556;26.59526722;18;Celtic Sea;Colligan Estuary
48;0.033955556;26.59526722;15;Celtic Sea;Colligan Estuary
49;0.033955556;26.59526722;14;Celtic Sea;Colligan Estuary
50;0.033955556;26.59526722;26;Celtic Sea;Colligan Estuary
51;0.033745358;26.59526722;33;North Atlantic Ocean;Corrib Estuary
52;0.033745358;26.59526722;17;North Atlantic Ocean;Corrib Estuary
53;0.033745358;26.59526722;17;North Atlantic Ocean;Corrib Estuary
54;0.033745358;26.59526722;5;North Atlantic Ocean;Corrib Estuary
55;0.033745358;26.59526722;20;North Atlantic Ocean;Corrib Estuary
56;0.033745358;26.59526722;34;North Atlantic Ocean;Corrib Estuary
57;0.033745358;26.59526722;25;North Atlantic Ocean;Corrib Estuary
58;0.033745358;26.59526722;32;North Atlantic Ocean;Corrib Estuary
59;0.033745358;26.59526722;36;North Atlantic Ocean;Corrib Estuary
60;0.033745358;26.59526722;44;North Atlantic Ocean;Corrib Estuary
61;0.051328125;26.59526722;12;North Atlantic Ocean;Fergus Estuary
62;0.051328125;26.59526722;3;North Atlantic Ocean;Fergus Estuary
