SampleID;x1;x2;y;RandomEffect
1;0.048;0.053;2;1
2;0.043;0.025;1;1
3;0.04;0.049;1;1
4;0.03;0.029;3;1
5;0.075;0.047;3;1
6;0.075;0.052;2;1
7;0.238;0.132;2;1
8;0.221;0.129;1;1
9;0.111;0.024;3;1
10;0.191;0.023;4;1
11;0.056;0.018;9;1
12;0.056;0.022;8;1
13;0.035;0.016;8;1
14;0.031;0.015;8;1
15;0.014;0.012;10;1
16;0.012;0.013;8;1
17;0.01;0.011;18;1
18;0.009;0.009;10;1
19;0.003;0.005;12;1
20;0.004;0.006;10;1
21;0.002;0.006;8;1
22;0.002;0.014;6;1
23;0.003;0.009;8;1
24;0.004;0.012;7;1
25;0.023;0.033;1;2
26;0.025;0.019;1;2
27;0.016;0.055;1;2
28;0.022;0.062;1;2
29;0.031;0.025;4;2
30;0.033;0.021;4;2
31;0.143;0.07;1;2
32;0.146;0.067;1;2
33;0.114;0.01;3;2
34;0.116;0.011;3;2
35;0.019;0.001;8;2
36;0.021;0.006;10;2
37;0.02;0.003;7;2
38;0.019;0.004;10;2
39;0.01;0.006;10;2
40;0.01;0.005;9;2
41;0.006;0.002;13;2
42;0.006;0.002;12;2
43;0.003;0.002;9;2
44;0.003;0;8;2
45;0.002;0.025;9;2
46;0.002;0.002;13;2
47;0.003;0.009;8;2
48;0.004;0.01;10;2
