SampleID;x1;x2;y;RandomEffect; 
1;9.4;24.4;6.41;2002;
2;9.4;24.4;5.09;2002;
3;23.1;24;6.01;2003;
4;23.1;24;4;2003;
5;17;18.9;3.14;2004;
6;17;18.9;2.75;2004;
7;16.5;22.5;2.63;2004;
8;16.5;22.5;0.55;2004;
9;23.3;26.8;5.52;2004;
10;23.3;26.8;5.53;2004;
11;14.2;8.5;1.29;2005;
12;14.2;8.5;1.5;2005;
13;18.8;19;5.61;2005;
14;18.8;19;8.26;2005;
15;22.3;25.4;6.49;2005;
16;22.3;25.4;5.78;2005;
17;22.4;29.7;2.62;2005;
18;22.4;29.7;2.91;2005;
19;10.4;22.5;8.44;2006;
20;10.4;22.5;9.594;2006;
21;16.6;28.2;6.758;2006;
22;16.6;28.2;5.743;2006;
23;11;8.8;4.58;2007;
24;11;8.8;4.17;2007;
25;15.9;17.7;9.65;2007;
26;15.9;17.7;9.3;2007;
27;20;24.8;6.28;2007;
28;20;24.8;6.27;2007;
29;23.4;27.1;6.58;2007;
30;23.4;27.1;6.93;2007;
31;22.3;28.9;3.82;2007;
32;22.3;28.9;3.8;2007;
33;16.5;21.4;2.58;2007;
34;16.6;21.5;2.02;2007;
35;15.7;27.8;4.84;2007;
36;15.7;27.8;4.73;2007;
37;4;26.4;2.18;2007;
38;4;26.4;2.81;2007;
39;12.4;15.1;3.51;2008;
40;12.4;15.1;3.84;2008;
41;12.7;14.7;2.12;2008;
42;12.7;14.7;2.13;2008;
43;22;26.6;5.93;2008;
44;22;26.6;4.93;2008;
45;22.6;25.3;6.02;2008;
46;22.6;25.3;6.78;2008;
47;21.4;22.1;8.4;2008;
48;21.4;22.1;9.07;2008;
49;16.8;22.3;3.5;2008;
50;16.8;22.3;3.71;2008;
51;10.6;20.6;1.68;2008;
52;10.6;20.6;1.58;2008;
53;15.2;14.8;3.14;2009;
54;15.2;14.8;4.31;2009;
55;16.1;21.2;6.05;2009;
56;16.1;21.2;6.22;2009;
57;19.3;15.8;0.76;2009;
58;19.3;15.8;0.86;2009;
59;19.3;15.8;1.41;2009;
60;24.5;14.4;3.55;2009;
61;23.9;20.1;1.6;2009;
62;18.9;28;1.61;2009;
63;9.9;26.3;1.92;2009;
64;7;17.3;1.32;2009;
65;11.5;15.6;2.97;2010;
66;11.5;15.6;3.71;2010;
67;11.5;15.6;3.21;2010;
68;19.5;21.5;12.16;2010;
69;19.5;21.5;8.86;2010;
70;19.5;21.5;8.91;2010;
71;22.2;23;14.53;2010;
72;22.3;26.7;8.31;2010;
73;21.7;25.3;3.55;2010;
74;18.4;27.3;2.12;2010;
75;10.9;24.8;3.03;2010;
76;10.9;24.8;2.64;2010;
77;10.9;24.8;2.65;2010;
78;8.5;21.7;4.03;2010;
79;8.5;21.7;3.86;2010;
80;8.5;21.7;3.9;2010;
81;9.7;13.5;7.21;2011;
82;9.7;13.5;10.4;2011;
83;9.7;13.5;5.78;2011;
84;12.9;15.7;2.45;2011;
85;12.9;15.7;1.83;2011;
86;12.9;15.7;1.22;2011;
87;18.3;21.6;2.66;2011;
88;24.3;27.4;4.15;2011;
89;24.3;27.4;3.22;2011;
90;24.3;27.4;5.28;2011;
91;23.8;26;4.69;2011;
92;12.6;15.3;1.96;2011;
93;12.6;15.3;2.14;2011;
94;7.8;15.3;2.01;2011;
95;7;15.4;0.9;2011;
96;7;15.4;0.82;2011;
97;7;15.4;0.82;2011;
98;14.4;26.6;1.77;2012;
99;14.4;26.6;1.32;2012;
100;14.4;26.6;2.4;2012;
101;19.5;20.4;4.07;2012;
102;23.4;15.9;8.38;2012;
103;24;29.9;2.86;2012;
104;24;29.9;2.26;2012;
105;24.1;29.8;3.52;2012;
106;25.6;30.4;1.9;2012;
107;17.6;29.8;2.44;2012;
108;12.2;27.1;1.58;2012;
109;12.2;27.1;1.62;2012;
110;12.2;27.1;1.46;2012;
111;5.1;25;5.73;2012;
112;4.4;25.3;4.06;2012;
113;4.4;25.3;3.07;2012;
114;4.4;25.3;3.54;2012;
115;11.8;17.5;7.21;2013;
116;11.8;17.5;7.66;2013;
117;11.8;17.5;7.19;2013;
118;15.6;25.6;5.07;2013;
119;21;15.2;19.35;2013;
120;23.9;16.6;5.71;2013;
121;23.9;16.6;4;2013;
122;23.9;16.6;3.81;2013;
123;18.9;17.5;2.49;2013;
124;18.9;17.5;2.43;2013;
125;18.9;17.5;2.37;2013;
126;16.3;26.7;2.43;2013;
127;4.3;16.3;2.89;2013;
128;1.6;12.8;3.01;2013;
129;1.6;12.8;2.1;2013;
130;1.6;12.8;2.53;2013;
131;10.2;17.5;14.95;2014;
132;15.8;20.2;7.69;2014;
