SampleID;x1;x2;y;RandomEffect
9;0.125;45.75;0.477966102;5
12;0.039;0;0.853242321;5
13;0.717;6.5;0.459183673;6
14;0.696;1.25;0.414893617;6
19;0.12;6.5;0.646853147;5
20;0.363;10.75;0.651408451;3
21;0.25;19;0.263157895;3
22;0.795;2.75;0.612716763;5
24;1.157;1.5;0.377926421;6
25;1.391;28.75;0.609271523;3
28;0.041;1.5;0.91954023;4
29;3.04;4.25;0.642384106;6
30;1.817;2;0.757961783;5
31;1.599;0.75;0.062706271;4
32;0.776;4;0.5;6
35;0.25;0.25;0.18729097;5
36;0.234;2.75;0.819112628;5
37;0.436;30.75;0.574829932;2
38;0.085;0.75;0.830065359;4
39;1.202;44.5;0.17;4
41;2.131;3.25;0;5
51;0.94;38.5;0.738255034;6
52;0.018;19;0.849462366;5
53;0.978;7.75;0.646666667;6
54;1.017;17.25;0.546827795;5
56;0.968;6.5;0.57615894;5
58;0.604;3;0.515669516;5
59;4.009;20;0.170568562;5
63;1.671;27.75;0.023489933;4
67;4.091;8.75;0.514619883;5
70;3.125;45;0.016835017;4
72;0.447;1;0.749152542;4
75;0.245;35.25;0.633699634;3
78;0.093;4;0.602693603;3
79;0.142;16;0.483333333;5
83;0.551;2.5;0.418604651;6
84;1.242;1.75;0.566666667;4
86;0.023;29.25;0.391891892;4
87;0.056;22.75;0.689189189;4
88;0.495;22;0.280405405;3
100;0.621;1.5;0.517006803;4
142;2.463;62.5;0.031847134;3
161;2.421;0.75;0.449511401;5
