SampleID;x1;x2;y
1;691;99;69.060323
2;1044;94;59.882403
3;1059;74;54.44587
4;640;164;40.092513
5;1040;190;56.663
6;1454;193;56.766
7;1163;325;45.938
8;1424;260;48.247
9;1264;175;48.844
10;1410;255;40.762
11;1308;117;48.101
12;987;187;40.724
13;1837;355;50.687
14;2098;337;65.557
15;2172;405;51.113
16;1458;149;87.895
17;1594;52;64.149
18;2208;67;74.761
19;1800;122;85.572
20;1331;66;94.164
21;1253;70;116.015
22;2746.422494;206;119.914
23;2124.066532;68;111.586
24;1335.577224;262;100.852
25;1753.567297;128;99.542
26;3148.018593;129;78.48
27;2484.972307;157;80.888
28;2209.277671;95;81.723
29;2392.25912;128;77.438
30;1697.09918;102;99.467
31;1750.2122;232;84.743
32;3138.570291;152;90.838
33;2715.280855;177;71.738
34;2663.859495;210;69.3
35;2971.4754;139;88.6
36;2881.546929;49;86.3
37;2477.336047;108;100.9
38;2789.551854;244;94.4
39;2751.514912;315;94
40;2804.604471;179;78.3
41;1792.427291;180;90.5
